플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,양도운,1.4,1,2,1,63.7,19,8.945054945054945,569.8
치지직,하루 님,4,4,5,3,32.7,14,6.17125382262997,201.8
치지직,망쵸,4.4,2,1,9,6.8,17,11.029411764705882,75
치지직,너구리OwO,5.2,4,9,2,63,14,4.693650793650794,295.7
치지직,명탄,5.4,3,6,6,18.5,16,6.097297297297297,112.8
치지직,우묘,7.4,7,3,12,4.7,12,8.46808510638298,39.8
치지직,뷰슬1337,8,4,4,14,4.8,14,6.5625,31.5
치지직,뚜루쿤,8,8,12,4,40,11,4.1675,166.7
치지직,허슬임,11.2,8,8,16,5.3,11,5.566037735849057,29.5
치지직,디보티,11.4,11,18,5,37.3,10,3.5308310991957104,131.7
치지직,릴테이프,11.8,11,11,13,7.1,10,4.633802816901408,32.9
치지직,비빔밥워리어민철,13.6,8,15,15,7.7,11,3.857142857142857,29.7
치지직,냐아초,14.2,11,22,8,32.8,10,2.6615853658536586,87.3
치지직,목화솜 moghwasom,14.8,14,19,11,12.3,9,3.3008130081300813,40.6
치지직,안룡98,15.6,20,10,19,3.7,7,4.675675675675675,17.3
치지직,뼈닥,15.8,23,21,7,33.3,6,2.90990990990991,96.9
치지직,도도도람쥐,16.6,15,7,27,1.2,8,5.666666666666667,6.8
치지직,샘소프,17.6,20,13,21,3.8,7,4.157894736842105,15.8
치지직,KIoud,19.4,15,17,24,2.4,8,3.5416666666666665,8.5
치지직,Earth hippo 하마,20.2,15,14,29,1.1,8,3.909090909090909,4.3
치지직,김파인애플,20.2,15,20,23,3.6,8,2.9722222222222223,10.7
치지직,장수덕,20.4,20,23,18,7.7,7,2.5584415584415585,19.7
치지직,무박이,20.6,25,29,10,26.9,5,1.9442379182156133,52.3
치지직,Tonteria,22.2,23,16,28,1.7,6,3.823529411764706,6.5
치지직,ILooveyoou,23,15,24,26,2.8,8,2.5,7
치지직,피그루,23,25,25,20,6.6,5,2.409090909090909,15.9
치지직,PITCH,24.8,28,26,22,5.2,4,2.326923076923077,12.1
치지직,삼하나31,26,32,32,17,12.8,3,1.5859375,20.3
치지직,Fluffles,27,25,30,25,4.7,5,1.7659574468085106,8.3
치지직,LEMON361,28.8,28,27,31,1.6,4,2.125,3.4
치지직,이루공,31.2,32,28,34,0.9,3,2.111111111111111,1.9
치지직,딸기전쟁,32,28,36,30,4,4,0.975,3.9
치지직,에그머니야,32.4,32,33,32,1.9,3,1.4210526315789473,2.7
치지직,나루다,32.8,28,31,37,0.5,4,1.6,0.8
치지직,둥실이ㄱ,33.6,32,35,33,1.8,3,1.3888888888888888,2.5
치지직,린팡,34.8,36,34,35,1,2,1.4,1.4
치지직,시그 SIG,36.4,36,37,36,1.3,2,0.9230769230769231,1.2
