플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,양도운,1.2,2,1,1,19.8,24,9.090909090909092,180
치지직,살아잇네예,4.6,1,6,5,14.6,35,7.171232876712328,104.7
치지직,Silecat,5.4,7,7,3,17.2,13,6.622093023255814,113.9
치지직,샘소프,6.2,3,2,12,3.4,15,8.882352941176471,30.2
치지직,하루 님,6.4,8,10,2,24.4,11,5.80327868852459,141.6
치지직,너구리OwO,6.6,3,9,6,10.1,15,5.881188118811881,59.4
치지직,Hosang Rifle,6.6,3,11,4,19.4,15,5.469072164948454,106.1
치지직,명탄,6.6,3,5,10,4.7,15,7.74468085106383,36.4
치지직,망쵸,10,8,4,17,1.9,11,8.368421052631579,15.9
치지직,비올레티,10.4,10,3,18,1.8,10,8.777777777777779,15.8
치지직,릴테이프,12.4,14,16,8,17,8,3.2,54.4
치지직,구희수,13,11,8,19,2.2,9,5.954545454545454,13.1
치지직,뚜루쿤,13,11,12,15,4.1,9,5.2682926829268295,21.6
치지직,냐아초,14.8,16,22,7,22.5,7,2.6355555555555554,59.3
치지직,무박이,15.6,14,23,9,16.3,8,2.521472392638037,41.1
치지직,삼하나31,16.2,19,17,14,9.9,6,3.0303030303030303,30
치지직,우묘,17.2,16,24,11,14.1,7,2.4468085106382977,34.5
치지직,뷰슬1337,17.8,11,13,26,1.5,9,4.333333333333333,6.5
치지직,김파인애플,18.4,16,14,24,2.5,7,3.6,9
치지직,GrtF5SL,19,19,25,13,12.6,6,2.388888888888889,30.1
치지직,비빔밥워리어민철,20.2,19,21,20,4.3,6,2.7674418604651163,11.9
치지직,피그루,20.2,19,20,21,4.1,6,2.8292682926829267,11.6
치지직,사초21,20.2,19,19,22,3.9,6,2.871794871794872,11.2
치지직,Tonteria,20.6,19,15,27,1.1,6,3.5454545454545454,3.9
치지직,예술개발자 혀니,21,19,27,16,9.1,6,2.065934065934066,18.8
치지직,허슬임,22.2,27,18,24,3,5,3,9
치지직,춘복임,23.4,19,26,23,4.6,6,2.369565217391304,10.9
치지직,영등포불주먹박영태,28.2,27,29,28,1.9,5,1.894736842105263,3.6
치지직,서레이 SeoREI,28.6,29,28,29,1.7,4,2,3.4
치지직,시그 SIG,29.6,30,30,29,3.1,3,1.096774193548387,3.4
치지직,강 혜 성,31.2,32,31,31,2.1,2,1.0952380952380953,2.3
치지직,치킨마요맛집,32.4,30,33,33,2,3,0.75,1.5
치지직,물리몰리,33.2,32,35,32,2.9,2,0.5517241379310345,1.6
치지직,Sannakj,33.6,32,34,34,0.6,2,0.6666666666666666,0.4
치지직,나루다,34.6,35,32,37,0.1,1,1,0.1
치지직,CHZZK KMG,35.4,35,36,35,0.6,1,0.5,0.3
치지직,디지ㅎㅎ,36.2,35,37,36,0.6,1,0.3333333333333333,0.2
