플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,더파이널스,1,1,1,1,5.7,382,249.17543859649123,1420.3
치지직,망쵸,2,2,2,2,13.8,21,13.173913043478262,181.8
치지직,하루 님,4,6,4,3,19.7,12,7.1725888324873095,141.3
치지직,양도운,4.6,3,6,4,14.4,17,5.986111111111111,86.2
치지직,삼하나31,5.6,4,7,5,13.7,13,5.335766423357664,73.1
치지직,니호,6.6,7,3,10,2.2,11,8.772727272727273,19.3
치지직,뚜루쿤,7.8,9,9,6,12.3,10,4.560975609756097,56.1
치지직,곱창소녀,8.8,4,5,15,1.8,13,6.555555555555555,11.8
치지직,사초21,10.2,11,13,7,11.2,8,4.125,46.2
치지직,릴테이프,10.6,11,12,9,6.3,8,4.126984126984127,26
치지직,피그루,11.2,10,15,8,6.8,9,3.9411764705882355,26.8
치지직,Bazzy2002,12.2,7,14,13,3.5,11,4.085714285714285,14.3
치지직,도타블,13,13,8,18,1.9,7,4.684210526315789,8.9
치지직,김파인애플,14.6,13,11,19,2,7,4.3,8.6
치지직,GrtF5SL,14.6,13,10,20,1.3,7,4.461538461538462,5.8
치지직,구희수,15.2,16,16,14,4.4,6,2.8636363636363638,12.6
치지직,무박이,16.6,17,21,12,7.5,5,1.9466666666666668,14.6
치지직,시그 SIG,16.6,17,22,11,8.9,5,1.8314606741573034,16.3
치지직,명탄,16.6,17,17,16,3.7,5,2.810810810810811,10.4
치지직,강 혜 성,17.8,17,19,17,4.1,5,2.2195121951219514,9.1
치지직,Earth hippo 하마,19.8,17,18,23,1.7,5,2.4705882352941178,4.2
치지직,냐아초,20.8,22,20,21,2.7,4,2.037037037037037,5.5
치지직,우묘,22.4,22,23,22,3.7,4,1.4324324324324325,5.3
치지직,카휘백,24.4,24,25,24,1.5,2,1.1333333333333333,1.7
치지직,LemonCandy,24.8,24,24,26,0.6,2,1.3333333333333333,0.8
치지직,비빔밥워리어민철,25.2,24,26,25,1.3,2,1.0769230769230769,1.4
치지직,라운지 초심자 a214547,27,27,27,27,0.2,1,0.5,0.1
치지직,당근숑,27.4,27,28,27,0.9,1,0.1111111111111111,0.1
치지직,예술개발자 혀니,27.8,27,29,27,1.5,1,0.06666666666666667,0.1
