플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,양도운,47.8,23,9.148535564853557,437.3
치지직,너구리OwO,58.5,16,7.415384615384616,433.8
치지직,하루 님,28.6,13,6.8321678321678325,195.4
치지직,명탄,8.9,44,18.876404494382022,168
치지직,망쵸,13,17,11.038461538461538,143.5
치지직,뚜루쿤,29.3,9,3.8737201365187715,113.5
치지직,뼈닥,36.8,7,2.108695652173913,77.6
치지직,냐아초,15.5,8,2.774193548387097,43
치지직,도비두비두밥,3.6,15,11.277777777777779,40.6
치지직,무박이,15.8,14,2.2341772151898733,35.3
치지직,삼하나31,16.9,5,1.952662721893491,33
치지직,사초21,4.9,11,5.3061224489795915,26
치지직,디보티,10.2,5,2.284313725490196,23.3
치지직,Tonteria,3.4,11,6,20.4
치지직,목화솜 moghwasom,4.7,8,4.340425531914893,20.4
치지직,나루다,2.7,15,6.222222222222222,16.8
치지직,Earth hippo 하마,4.5,8,3.2666666666666666,14.7
치지직,릴테이프,3.1,5,2.6774193548387095,8.3
치지직,Lotb,1.6,8,4.875,7.8
치지직,KIoud,3.1,6,2.4838709677419355,7.7
치지직,안룡98,3,4,2.433333333333333,7.3
치지직,김파인애플,3.5,4,2,7
치지직,세인테수,2.4,7,2.875,6.9
치지직,영등포불주먹박영태,1.9,10,3.473684210526316,6.6
치지직,qqobb,1.7,5,2.8823529411764706,4.9
치지직,예술개발자 혀니,4.8,2,1,4.8
치지직,우묘,3,5,1.4666666666666666,4.4
치지직,시그 SIG,3.9,3,1.0769230769230769,4.2
치지직,에그머니야,3.2,4,1.15625,3.7
치지직,피그루,3.3,3,0.8484848484848485,2.8
치지직,ILooveyoou,1.3,3,2,2.6
치지직,zi존키위,1.8,3,1.1111111111111112,2
치지직,래삥,0.4,5,4.5,1.8
치지직,리틀보이131,0.9,2,1.4444444444444444,1.3
치지직,밤새는군주,1.5,2,0.8666666666666667,1.3
SOOP,릴테이프,0.1,4,4,0.4
치지직,초연4,0.3,1,0.3333333333333333,0.1
치지직,링글스프,0.3,0,0,0
