플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,박현정,66.6,29,17.36036036036036,1156.2
SOOP,서경주,79.6,19,10.257537688442211,816.5
SOOP,오리넉구리,84.8,14,6.783018867924528,575.2
치지직,새롬이 Saeromi,41.4,28,12.990338164251208,537.8
치지직,도그홀,32.3,26,13.6656346749226,441.4
치지직,헌재HeonJae,32,20,11.303125,361.7
치지직,릴쓰,29.7,18,11.404040404040405,338.7
치지직,유건 패브로,41.3,14,7.6440677966101696,315.7
치지직,나지안,42.8,36,6.880841121495327,294.5
치지직,햄쮸맨,47.9,14,5.16910229645094,247.6
치지직,띵동 Ddingdong,22.4,20,9.428571428571429,211.2
치지직,서제리,44.4,11,3.954954954954955,175.6
SOOP,도그홀,42.2,8,4.097156398104265,172.9
치지직,젠드로 Jendro,9.4,27,17.904255319148938,168.3
SOOP,달리미르,24.2,9,6.223140495867769,150.6
치지직,콜슝이,46.4,17,3.1573275862068964,146.5
치지직,최강후야,73.3,7,1.984993178717599,145.5
치지직,쇼 시,16.8,17,8.202380952380953,137.8
치지직,유함이,14.6,14,7.767123287671233,113.4
치지직,깨액,19.7,15,5.50253807106599,108.4
치지직,루 니,11.3,14,8.716814159292035,98.5
치지직,솜탕Somtang,8,17,11.875,95
치지직,캔트리스,21.4,8,4.313084112149533,92.3
치지직,게임조무사GameJomusa,32.8,7,2.75,90.2
치지직,키마곤,33.5,9,2.4507462686567165,82.1
치지직,독특,91.6,6,0.8176855895196506,74.9
치지직,연 찬,23.7,9,3.1350210970464136,74.3
치지직,어캐,14,9,5.171428571428572,72.4
치지직,김망고SS2,18.4,9,3.4130434782608696,62.8
치지직,노랑이에용,13.6,12,4.573529411764706,62.2
치지직,갑엇,11.9,10,5.1344537815126055,61.1
치지직,레플 Lepple,4.8,17,11.604166666666666,55.7
치지직,현은빈,5.2,21,10.596153846153847,55.1
SOOP,강드-,11.4,8,4.7368421052631575,54
치지직,도라리 Dorari,3.1,22,17.387096774193548,53.9
치지직,MULTISSUE,10.4,8,5.019230769230769,52.2
SOOP,이산군,17.9,6,2.804469273743017,50.2
치지직,다루쥐,3.1,20,15.064516129032258,46.7
치지직,다우리,2.6,22,17.5,45.5
SOOP,식쑤,7.7,10,5.766233766233766,44.4
치지직,백범자,5.8,15,7.448275862068965,43.2
SOOP,택견_,13.3,5,3.0977443609022557,41.2
치지직,앤슬,16.3,7,2.503067484662577,40.8
치지직,데굴알밤,20.1,5,1.9950248756218905,40.1
치지직,남청하,18.2,6,2.0934065934065935,38.1
치지직,위즐리어카,3,16,12.333333333333334,37
치지직,서젼,29.8,4,1.1644295302013423,34.7
치지직,백만봉,8.5,7,3.4823529411764707,29.6
치지직,혜지는혜지,4.5,11,6.355555555555555,28.6
치지직,게임하는노래쟁이,6.3,8,4.523809523809524,28.5
치지직,묘수쿤,27.8,4,1.0071942446043165,28
치지직,세라몬,3.6,12,7.75,27.9
SOOP,EBS_GAME,13.8,3,1.9927536231884058,27.5
치지직,찌부엉,3.5,13,7.714285714285714,27
치지직,캔빗미,19.3,5,1.38860103626943,26.8
치지직,Doman도만,2.5,14,10.08,25.2
SOOP,겜퐁,7.6,4,3.1973684210526314,24.3
치지직,별밤율,11.7,6,2.0256410256410255,23.7
치지직,카카보,19.3,4,1.1968911917098446,23.1
치지직,이산군,18.1,6,1.149171270718232,20.8
SOOP,한하코,5.1,6,3.843137254901961,19.6
치지직,춘꾸,4.1,7,4.682926829268292,19.2
치지직,미토키,1.7,16,10.470588235294118,17.8
치지직,니마,5.8,5,3.0689655172413794,17.8
치지직,북부중공,7.4,4,2.2972972972972974,17
SOOP,게임하는오늘,3.6,7,4.722222222222222,17
치지직,벤디모 Bandimo,5.3,9,3.1320754716981134,16.6
치지직,트냥이,3.5,6,4.4,15.4
치지직,구이몬 92mon,6.7,4,2.253731343283582,15.1
치지직,나는 조아요,4.3,6,3.186046511627907,13.7
치지직,계란빵한개만원,1.7,10,7.823529411764706,13.3
치지직,미대곰,7.7,5,1.7012987012987013,13.1
SOOP,oEarlGrey,4.4,3,2.9545454545454546,13
치지직,아스드,9.2,6,1.4130434782608696,13
치지직,커엽소,4.7,6,2.723404255319149,12.8
치지직,뮤미엘,4.2,5,2.8333333333333335,11.9
치지직,하미유,3.8,6,3,11.4
치지직,피빛새싹,8.2,3,1.2926829268292683,10.6
치지직,다츠마,10.8,4,0.8888888888888888,9.6
SOOP,걍놀고싶어요,4.6,3,2.0434782608695654,9.4
치지직,마아초,5,3,1.86,9.3
치지직,대군TV,3.1,5,2.870967741935484,8.9
치지직,l전설l,5.2,4,1.4615384615384615,7.6
치지직,지건이,5.5,4,1.3454545454545455,7.4
치지직,하나비양,2.5,5,2.92,7.3
치지직,댕이뾰이,6.2,3,1.0806451612903225,6.7
치지직,겜퐁,7.7,2,0.8311688311688312,6.4
치지직,최영화,5.8,2,1.103448275862069,6.4
치지직,채닝닝,2.5,6,2.44,6.1
치지직,Lrys,1.7,5,3.411764705882353,5.8
치지직,oEarlGrey,4.4,3,1.2954545454545454,5.7
치지직,지응자응,1.7,4,2.8823529411764706,4.9
치지직,실브Sylv,5.8,2,0.8448275862068966,4.9
치지직,MAXH,9.5,3,0.47368421052631576,4.5
치지직,게임하는오늘,0.8,8,5.5,4.4
치지직,엔오님,3.3,3,1.2424242424242424,4.1
