플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,박현정,67.5,24,17.00888888888889,1148.1
SOOP,서경주,71,17,10.246478873239436,727.5
치지직,도그홀,28.1,25,14.377224199288257,404
SOOP,화여니,15.4,38,26.07792207792208,401.6
치지직,헌재HeonJae,33.9,25,11.513274336283185,390.3
SOOP,식스_-,45.9,15,7.830065359477124,359.4
SOOP,오리넉구리,59.7,11,5.76214405360134,344
치지직,릴쓰,25.1,16,8.97211155378486,225.2
치지직,햄쮸맨,30,18,7.18,215.4
치지직,MULTISSUE,34,13,6.3352941176470585,215.4
치지직,나지안,38.4,14,5.098958333333333,195.8
치지직,콜슝이,58.3,9,2.7735849056603774,161.7
치지직,유건 패브로,26.4,14,5.765151515151516,152.2
치지직,노랑이에용,22.9,12,6.475982532751091,148.3
치지직,서제리,41.8,8,3.45933014354067,144.6
치지직,유함이,14.7,16,9.551020408163266,140.4
치지직,쇼 시,17.9,13,7.76536312849162,139
치지직,젠드로 Jendro,6.4,35,19.90625,127.4
치지직,독특,80,8,1.40875,112.7
치지직,드로즈,6.1,27,16.868852459016395,102.9
치지직,새롬이 Saeromi,9.6,17,10.375,99.6
치지직,평쭈,20.1,11,4.8059701492537314,96.6
치지직,연 찬,34.4,7,2.7819767441860463,95.7
치지직,게임하는오늘,9.2,17,10.293478260869565,94.7
치지직,밍고임다,13.7,15,6.562043795620438,89.9
치지직,띵동 Ddingdong,14.3,13,6.216783216783217,88.9
SOOP,달리미르,12.2,11,7.221311475409836,88.1
SOOP,강드-,22.2,6,3.9594594594594597,87.9
치지직,최강후야,25.1,7,2.908366533864542,73
치지직,키마곤,34.5,7,2.0898550724637683,72.1
치지직,게임조무사GameJomusa,25,6,2.784,69.6
치지직,뇌시경,20.8,7,2.9471153846153846,61.3
치지직,데굴알밤,21.6,7,2.7175925925925926,58.7
치지직,묘수쿤,33.5,8,1.6925373134328359,56.7
SOOP,김카인,14.4,7,3.8819444444444446,55.9
SOOP,겜퐁,15.8,5,3.4683544303797467,54.8
치지직,세라몬,9,9,5.7444444444444445,51.7
치지직,커엽소,14.5,10,3.475862068965517,50.4
치지직,깨액,13.5,10,3.4962962962962965,47.2
치지직,푸른선장,7.5,10,5.906666666666666,44.3
