플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,화여니,56.4,58,33.159574468085104,1870.2
치지직,박득천,57.1,63,29.770577933450088,1699.9
SOOP,박현정,69.4,27,16.27521613832853,1129.5
치지직,렉 시,92.2,21,6.747288503253796,622.1
SOOP,서경주,72.3,15,7.781466113416321,562.6
치지직,차금지,51.5,27,10.920388349514564,562.4
치지직,도그홀,36.2,31,13.546961325966851,490.4
치지직,헌재HeonJae,67.6,24,7.078402366863905,478.5
치지직,끠월마녀,9.3,54,45.29032258064516,421.2
SOOP,로지rozi,22.6,26,14.809734513274336,334.7
치지직,뱀용,42.3,16,7.557919621749409,319.7
치지직,Doman도만,18.8,30,16.43617021276596,309
치지직,유함이,31.3,17,9.715654952076678,304.1
치지직,새롬이 Saeromi,37.7,16,7.877984084880636,297
치지직,갑엇,48.5,12,5.630927835051547,273.1
SOOP,Rity~,18,27,13.333333333333334,240
치지직,세모개미,18,27,13.133333333333333,236.4
치지직,렛 삐,9.6,34,23.166666666666668,222.4
치지직,유우양,2.4,98,85.20833333333333,204.5
치지직,방아방하,46,9,4.423913043478261,203.5
치지직,마하라지,18.9,19,10.687830687830688,202
치지직,현은빈,17.8,22,10.617977528089888,189
치지직,릴쓰,24.5,30,7.571428571428571,185.5
SOOP,달리미르,30.7,13,5.996742671009772,184.1
SOOP,겜퐁,49.1,5,3.4012219959266803,167
치지직,유건 패브로,24.9,11,5.93574297188755,147.8
치지직,키이로옐,24.2,17,5.537190082644628,134
치지직,실브Sylv,44.5,7,3.004494382022472,133.7
SOOP,시가연,7.5,21,17.626666666666665,132.2
치지직,융 쁘,4.9,36,26.653061224489797,130.6
치지직,나 견,33.3,19,3.855855855855856,128.4
SOOP,빠라빵코,15.2,13,7.8881578947368425,119.9
SOOP,도그홀,22.8,7,4.62280701754386,105.4
SOOP,아라리_-,9.7,16,10.29896907216495,99.9
치지직,다우리,7.9,16,12.481012658227849,98.6
치지직,백범자,12.4,15,7.387096774193548,91.6
치지직,지응자응,23,8,3.9695652173913043,91.3
치지직,김머만,31.3,39,2.8434504792332267,89
치지직,Domy,18.2,9,4.857142857142857,88.4
치지직,다루쥐,5.6,23,15.125,84.7
치지직,l전설l,33.9,6,2.471976401179941,83.8
치지직,쇼 시,13.1,14,6.343511450381679,83.1
치지직,니마,28.4,5,2.890845070422535,82.1
치지직,세라몬,11.1,14,7.054054054054054,78.3
치지직,띵동 Ddingdong,18.3,9,4.1256830601092895,75.5
치지직,효돌이92,29,8,2.406896551724138,69.8
치지직,최하루s,6.1,15,11.081967213114755,67.6
SOOP,강드-,19,5,3.468421052631579,65.9
치지직,MULTISSUE,23,5,2.734782608695652,62.9
치지직,어캐,12.1,10,5.198347107438017,62.9
치지직,게임조무사GameJomusa,29.7,6,2.026936026936027,60.2
치지직,겜도깨비,68.2,5,0.843108504398827,57.5
치지직,Lrys,10.6,18,5.216981132075472,55.3
치지직,데굴알밤,24.8,6,2.185483870967742,54.2
치지직,백만봉,23.4,5,2.2948717948717947,53.7
치지직,템포XD,19.4,7,2.731958762886598,53
치지직,독크햄,13.2,6,4,52.8
치지직,서젼,24.5,5,2.130612244897959,52.2
치지직,평쭈,24.4,5,2.127049180327869,51.9
SOOP,맹꼬2,15.8,6,3.0126582278481013,47.6
치지직,이라 2ra,6.7,15,7.074626865671642,47.4
치지직,o땡글o,21,6,2.2476190476190476,47.2
치지직,l박정현l,16.8,7,2.755952380952381,46.3
SOOP,치명적여사,4,14,11.575,46.3
치지직,힛벨HitBell,12.9,6,3.5813953488372094,46.2
치지직,서제리,16.6,6,2.6626506024096384,44.2
치지직,아스드,17.5,8,2.474285714285714,43.3
치지직,미토키,3,23,13.366666666666667,40.1
치지직,oyagato,4.6,13,8.58695652173913,39.5
치지직,랜박,2.1,23,18.761904761904763,39.4
치지직,연낭찬,24.8,5,1.5806451612903225,39.2
SOOP,부남송,4.6,11,8.369565217391305,38.5
치지직,유아독,12.3,11,3.073170731707317,37.8
치지직,박보승씨,10.3,6,3.6407766990291264,37.5
치지직,피빛새싹,17.7,6,2.1186440677966103,37.5
치지직,겜퐁,49.1,3,0.6904276985743381,33.9
SOOP,식쑤,6,10,5.35,32.1
치지직,련히,4.2,12,7.571428571428571,31.8
SOOP,Geso,12.2,4,2.6065573770491803,31.8
치지직,마아초,14.8,5,2.1216216216216215,31.4
치지직,제이백 J BACK,11.2,5,2.6875,30.1
치지직,펜리르405,4,16,7.45,29.8
치지직,류씨유,13.5,5,2.1925925925925926,29.6
치지직,아라리 Arari,10.6,6,2.641509433962264,28
치지직,푸른선장,3.4,12,7.970588235294118,27.1
치지직,순희 SUNY,2.3,14,11.782608695652174,27.1
치지직,미대곰,19.5,3,1.3487179487179488,26.3
치지직,루씨엠99,4.4,11,5.795454545454546,25.5
SOOP,갓딘:),7.8,4,3.1666666666666665,24.7
치지직,연봉이v,12.5,5,1.784,22.3
치지직,타코쿤,8.7,7,2.528735632183908,22
치지직,다츠마,13.8,4,1.5144927536231885,20.9
치지직,꾸한,5,10,4.18,20.9
치지직,한하코,7.4,5,2.7567567567567566,20.4
SOOP,김머만,9.4,3,2.127659574468085,20
치지직,크볼,10.2,6,1.911764705882353,19.5
SOOP,걍놀고싶어요,9,4,2.1555555555555554,19.4
치지직,트냥이,7.5,5,2.4,18
치지직,춘꾸,6.1,6,2.8852459016393444,17.6
치지직,웍허,5.2,7,3.2884615384615383,17.1
치지직,F마린,8.1,3,1.9876543209876543,16.1
치지직,한지카,3.1,8,5.064516129032258,15.7
SOOP,핑빠리,1,15,15,15
치지직,김망고SS2,14.3,3,1.027972027972028,14.7
치지직,채닝닝,3,7,4.466666666666667,13.4
치지직,겜퀸비,2.5,7,5.16,12.9
치지직,젠드로 Jendro,2.1,9,6.095238095238095,12.8
치지직,배귤,5.9,4,2.1016949152542375,12.4
치지직,세가족 아빠,10.1,4,1.2178217821782178,12.3
치지직,아이스바이스,7.6,4,1.605263157894737,12.2
치지직,댕이뾰이,15,4,0.7933333333333333,11.9
치지직,햄쮸맨,12.8,3,0.90625,11.6
치지직,삼 칠,6.9,3,1.6376811594202898,11.3
치지직,베랭,12.5,4,0.856,10.7
치지직,임환,8.3,7,1.2289156626506024,10.2
치지직,늑찡,1.5,10,6.733333333333333,10.1
치지직,애기별님,2.2,7,3.772727272727273,8.3
치지직,이 페이지를 찾을수 없,3.8,3,2.1315789473684212,8.1
치지직,별밤율,5.5,3,1.4181818181818182,7.8
SOOP,BJ기린보이,2.5,4,3.04,7.6
치지직,레붕,0.9,11,8.11111111111111,7.3
치지직,메리스,5.1,4,1.392156862745098,7.1
치지직,최영화,8.1,3,0.8641975308641975,7
치지직,쟈홍,2.4,6,2.7916666666666665,6.7
치지직,똬리 TTwaLi,5.3,2,1.2264150943396226,6.5
치지직,제경이1,3.5,2,1.6571428571428573,5.8
치지직,촉수마왕,0.7,9,8,5.6
치지직,우주악당해적로봇,1.9,4,2.736842105263158,5.2
치지직,빨간행인,2.4,4,2.125,5.1
치지직,암무거나,9.6,2,0.5104166666666666,4.9
치지직,로그마,2.2,3,2,4.4
SOOP,원숭이나무에,2.3,3,1.6521739130434783,3.8
치지직,띵즈,1,6,3.8,3.8
치지직,크 래 커,3.1,3,1.2258064516129032,3.8
치지직,하믹스,3.5,4,1.0571428571428572,3.7
치지직,해벌레,3.2,2,1.125,3.6
치지직,Acode,2,3,1.7,3.4
치지직,MAXH,8,3,0.4,3.2
치지직,게소,11.9,2,0.2605042016806723,3.1
치지직,트랑스,3.6,2,0.75,2.7
치지직,미루미루,0.6,7,4.166666666666667,2.5
