플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,박득천,1.8,1,2,2,42.3,79,42.32387706855792,1790.3
SOOP,화여니,2.2,3,3,1,75,53,35.232,2642.4
SOOP,박현정,4.8,6,6,3,64.9,34,19.2788906009245,1251.2
치지직,세모개미,6.2,7,7,5,36.5,32,17.4027397260274,635.2
치지직,렛 삐,6.8,4,4,11,13.6,44,25.514705882352942,347
치지직,차금지,9,5,14,6,43.7,36,14.329519450800916,626.2
치지직,연 홍차,10.8,8,5,18,10.3,30,22.45631067961165,231.3
치지직,현은빈,11.8,11,16,8,30.6,24,13.447712418300654,411.5
치지직,요루야,16,2,1,38,1.9,73,56.89473684210526,108.1
치지직,다우리,16.2,9,13,23,13.9,26,14.37410071942446,199.8
SOOP,로지rozi,16.2,23,17,12,28.3,20,12.074204946996467,341.7
치지직,릴쓰,16.2,11,19,16,25.1,24,11.721115537848606,294.2
SOOP,서경주,16.6,13,31,4,88.7,23,9.103720405862457,807.5
SOOP,Rity~,16.8,20,18,14,25.2,21,11.876984126984127,299.3
치지직,도그홀,16.8,18,20,13,28.2,22,11.588652482269504,326.8
치지직,Doman도만,16.8,18,23,10,35.7,22,10.322128851540617,368.5
SOOP,치명적여사,17.4,13,12,25,13,23,14.723076923076922,191.4
치지직,모모팡,19.4,9,10,34,9,26,16.233333333333334,146.1
치지직,뱀용,20.4,20,24,17,25.4,21,9.98031496062992,253.5
치지직,갑엇,24.2,29,37,9,47.8,17,7.949790794979079,380
치지직,아쾅 Akuang,24.2,13,9,45,4.4,23,16.272727272727273,71.6
치지직,백범자,26,26,32,20,23.9,19,9.05857740585774,216.5
치지직,l박정현l,26.4,26,46,7,72.6,19,6.236914600550964,452.8
치지직,효꾸,27.4,13,27,35,13.4,23,9.582089552238806,128.4
치지직,미토키,27.8,23,11,47,4.4,20,15.340909090909092,67.5
치지직,Domy,28.4,32,40,15,40.4,16,7.349009900990099,296.9
치지직,지응자응,28.6,13,39,26,25,23,7.44,186
치지직,유함이,28.6,29,30,27,17.6,17,9.113636363636363,160.4
