플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,박득천,2.8,4,4,1,57.4,84,51.66202090592334,2965.4
치지직,노페,3,1,1,6,2.2,756,339.45454545454544,746.8
치지직,렛 삐,4.2,5,5,3,25.8,67,44.189922480620154,1140.1
SOOP,화여니,4.8,6,7,2,73,55,35.96986301369863,2625.8
치지직,끠월마녀,6.2,3,3,11,7.8,96,75.8974358974359,592
치지직,악동 김블루,10.4,2,2,23,1.2,345,259.4166666666667,311.3
치지직,차금지,10.6,13,16,4,46.9,35,18.19829424307036,853.5
치지직,현은빈,13.2,14,17,9,34,32,17.88235294117647,608
치지직,마하라지,13.6,8,14,16,24.8,42,19.850806451612904,492.3
SOOP,로지rozi,16,18,26,5,55.2,27,14.84963768115942,819.7
SOOP,박현정,16.8,20,22,10,36.2,26,16.73204419889503,605.7
치지직,미토키,18,10,15,25,16,38,18.26875,292.3
치지직,Doman도만,20.8,18,35,8,50.5,27,13.021782178217821,657.6
치지직,도그홀,20.8,16,27,17,31.1,31,14.781350482315112,459.7
SOOP,김마렌,22.6,9,6,46,3.3,41,36.54545454545455,120.6
SOOP,Rity~,26.8,20,38,19,33.6,26,11.779761904761905,395.8
치지직,세모개미,27.6,34,30,22,22.9,22,14.467248908296943,331.3
치지직,릴쓰,29.6,14,46,21,35.5,32,9.805633802816901,348.1
치지직,최하루s,31,25,28,37,12.4,25,14.774193548387096,183.2
치지직,뱀용,31.2,42,45,12,55.2,18,9.972826086956522,550.5
치지직,파 크 모,31.4,7,8,67,2.2,54,34.63636363636363,76.2
SOOP,치명적여사,31.8,25,25,42,9.9,25,15.727272727272727,155.7
치지직,빛단아,32,36,33,29,18.9,20,13.666666666666666,258.3
치지직,모모팡,32,20,18,52,5.7,26,17.75438596491228,101.2
치지직,바나나맛우윰,34.4,12,11,69,3,36,24.866666666666667,74.6
SOOP,엣치쿠,35.2,20,12,66,3.3,26,23.393939393939394,77.2
치지직,유함이,35.6,30,47,27,28.2,24,9.546099290780141,269.2
SOOP,김멘탈,35.6,50,44,20,37.8,15,10.103174603174603,381.9
치지직,융 쁘,35.8,25,21,56,5.4,25,17.40740740740741,94
치지직,고먐미님,36.6,31,31,45,10.3,23,14.087378640776699,145.1
치지직,렉 시,36.8,40,57,15,62.1,19,7.951690821256038,493.8
SOOP,이지수^^*,37,17,10,74,2.6,29,26.23076923076923,68.2
SOOP,피아__,38.4,20,54,32,26,26,8.565384615384616,222.7
