플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,박득천,57.4,84,51.66202090592334,2965.4
SOOP,화여니,73,55,35.96986301369863,2625.8
치지직,렛 삐,25.8,67,44.189922480620154,1140.1
치지직,차금지,46.9,35,18.19829424307036,853.5
SOOP,로지rozi,55.2,27,14.84963768115942,819.7
치지직,노페,2.2,756,339.45454545454544,746.8
SOOP,서경주,94.6,15,6.978858350951374,660.2
치지직,Doman도만,50.5,27,13.021782178217821,657.6
치지직,현은빈,34,32,17.88235294117647,608
SOOP,박현정,36.2,26,16.73204419889503,605.7
치지직,끠월마녀,7.8,96,75.8974358974359,592
치지직,뱀용,55.2,18,9.972826086956522,550.5
치지직,겜보1,65.5,15,7.816793893129771,512
치지직,낭도람,86.8,17,5.864055299539171,509
치지직,렉 시,62.1,19,7.951690821256038,493.8
치지직,마하라지,24.8,42,19.850806451612904,492.3
치지직,도그홀,31.1,31,14.781350482315112,459.7
치지직,Domy,59.2,15,7.469594594594595,442.2
SOOP,Rity~,33.6,26,11.779761904761905,395.8
SOOP,김멘탈,37.8,15,10.103174603174603,381.9
치지직,릴쓰,35.5,32,9.805633802816901,348.1
치지직,세모개미,22.9,22,14.467248908296943,331.3
치지직,악동 김블루,1.2,345,259.4166666666667,311.3
치지직,찬꾹,51.5,13,5.984466019417476,308.2
치지직,미토키,16,38,18.26875,292.3
치지직,IMAmurderer,62.5,10,4.3568,272.3
치지직,유함이,28.2,24,9.546099290780141,269.2
치지직,쇼 시,46.4,11,5.6875,263.9
치지직,빛단아,18.9,20,13.666666666666666,258.3
SOOP,촙촙이야,36.8,17,6.836956521739131,251.6
치지직,갑엇,46.1,17,4.887201735357918,225.3
SOOP,피아__,26,26,8.565384615384616,222.7
SOOP,유함이,33.4,11,6.347305389221557,212
치지직,헌재,65,8,3.0784615384615384,200.1
치지직,유건 패브로,26,15,7.688461538461539,199.9
치지직,l박정현l,54.4,11,3.6654411764705883,199.4
치지직,최하루s,12.4,25,14.774193548387096,183.2
치지직,빠라빵코,52.6,10,3.3840304182509504,178
치지직,김soya,24,14,6.991666666666666,167.8
치지직,겜도깨비,109.8,6,1.5136612021857923,166.2
치지직,게임조무사GameJomusa,41.3,13,3.9104116222760292,161.5
SOOP,치명적여사,9.9,25,15.727272727272727,155.7
치지직,아일린8초,47.3,9,3.171247357293869,150
SOOP,겜퐁,46.7,6,3.154175588865096,147.3
치지직,고먐미님,10.3,23,14.087378640776699,145.1
SOOP,김마렌,3.3,41,36.54545454545455,120.6
SOOP,내가박바기,24.6,9,4.804878048780488,118.2
치지직,릴테이프,23.3,10,4.909871244635193,114.4
SOOP,아일린8초,47.3,4,2.3340380549682873,110.4
SOOP,릴테이프,23.8,7,4.310924369747899,102.6
치지직,레붕,9.4,17,10.840425531914894,101.9
치지직,모모팡,5.7,26,17.75438596491228,101.2
치지직,데굴알밤,25,8,3.968,99.2
치지직,다츠마,56.2,7,1.7580071174377223,98.8
치지직,MULTISSUE,35.1,7,2.695156695156695,94.6
치지직,융 쁘,5.4,25,17.40740740740741,94
치지직,시로시로유,45.8,6,2.0436681222707422,93.6
치지직,서젼,24.4,10,3.622950819672131,88.4
치지직,키이로옐,37.4,5,2.355614973262032,88.1
치지직,Lrys,15.5,17,5.619354838709677,87.1
치지직,니마,35.1,7,2.324786324786325,81.6
치지직,l전설l,32.4,7,2.5123456790123457,81.4
치지직,백만봉,30.6,7,2.607843137254902,79.8
치지직,랜박,4.5,23,17.511111111111113,78.8
치지직,oyagato,8.3,13,9.385542168674698,77.9
SOOP,엣치쿠,3.3,26,23.393939393939394,77.2
치지직,파 크 모,2.2,54,34.63636363636363,76.2
치지직,릴리나봉,10.7,11,7.11214953271028,76.1
치지직,바나나맛우윰,3,36,24.866666666666667,74.6
치지직,미우먀우,4.2,25,17.61904761904762,74
치지직,다루쥐,5.4,25,13.685185185185185,73.9
치지직,어캐,11.3,10,6.230088495575221,70.4
치지직,임환,13,11,5.384615384615385,70
SOOP,이지수^^*,2.6,29,26.23076923076923,68.2
치지직,류씨유,33.1,4,2.012084592145015,66.6
치지직,피빛새싹,31.8,6,2.0723270440251573,65.9
치지직,히게 hige,4.1,20,15.902439024390244,65.2
치지직,지응자응,17.9,8,3.4134078212290504,61.1
치지직,세상세,33.9,7,1.7817109144542773,60.4
치지직,푸른선장,9.3,11,6.225806451612903,57.9
치지직,노솔링,4.3,21,13.325581395348838,57.3
SOOP,서젼,24.2,4,2.21900826446281,53.7
치지직,겜퀸비,8.6,9,6.162790697674419,53
치지직,윤 씨,6.9,12,7.507246376811594,51.8
치지직,팡 현,17.8,7,2.8764044943820224,51.2
치지직,FIXXER,14.3,8,3.5734265734265733,51.1
치지직,김망고SS2,5,16,9.36,46.8
치지직,련히,4.6,17,10.173913043478262,46.8
SOOP,갓정이,19.7,3,2.1928934010152283,43.2
치지직,Vario,15.5,6,2.5612903225806454,39.7
치지직,루씨엠99,5.2,12,7.576923076923077,39.4
치지직,플라멩코,25.8,5,1.4069767441860466,36.3
치지직,늑찡,5.8,11,6.206896551724138,36
치지직,다우리,2.4,19,14.75,35.4
치지직,춘꾸,8.6,7,4.058139534883721,34.9
치지직,겜퐁,46.5,4,0.7505376344086021,34.9
치지직,웍허,8.1,8,4.296296296296297,34.8
치지직,창기XD,7.7,8,4.441558441558442,34.2
치지직,메에롱이,3.6,12,8.86111111111111,31.9
치지직,썬대디 TV,14.8,7,2.0675675675675675,30.6
치지직,한지카,3.5,12,8.714285714285714,30.5
치지직,천수천수,1.9,20,15.947368421052632,30.3
SOOP,아라리_-,3.1,14,8.96774193548387,27.8
SOOP,어흥이배고파,9.1,4,3.021978021978022,27.5
SOOP,디오Dio,5.7,7,4.807017543859649,27.4
치지직,F마린,15,3,1.8133333333333332,27.2
치지직,김머만,14.4,4,1.8402777777777777,26.5
치지직,거친야생마,6.6,6,4,26.4
치지직,마아초,7.7,6,3.3376623376623376,25.7
치지직,백범자,3.5,12,7.114285714285714,24.9
치지직,채리콥터,2,20,12.1,24.2
SOOP,효랭총각,6.9,5,3.4347826086956523,23.7
치지직,유룽그,2,15,11.65,23.3
치지직,I묘연I,10.5,5,2.2095238095238097,23.2
치지직,혼밥꾼,5.4,6,4.296296296296297,23.2
치지직,효랭총각,7.2,6,3.0833333333333335,22.2
SOOP,카네상,7.6,4,2.9078947368421053,22.1
치지직,창틀에피는꽃,2.5,11,8.28,20.7
치지직,그라함에이커,10.8,3,1.9074074074074074,20.6
치지직,유실리안,8.6,6,2.383720930232558,20.5
치지직,연세호,7.1,5,2.8732394366197185,20.4
치지직,동훈이네,6.8,6,2.9705882352941178,20.2
치지직,CASKER,0.7,37,28.571428571428573,20
치지직,제이미르,9.3,6,2.053763440860215,19.1
SOOP,박노아_,3.9,6,4.846153846153846,18.9
치지직,뿌띠뿌끼,7.4,5,2.4864864864864864,18.4
치지직,최영화,13.4,4,1.373134328358209,18.4
치지직,루모리,1.9,11,9.210526315789474,17.5
SOOP,부따맨^^,5.7,4,3.0526315789473686,17.4
치지직,세웅99,6.5,5,2.6307692307692307,17.1
치지직,빵화탕,6.5,5,2.5692307692307694,16.7
치지직,독크햄,3.3,6,5.03030303030303,16.6
치지직,찌부엉,2.3,10,7.173913043478261,16.5
치지직,괴몽,2.9,8,5.586206896551724,16.2
치지직,에직,6.7,5,2.4029850746268657,16.1
치지직,우베붸,10.9,5,1.4311926605504588,15.6
치지직,모부이,1.9,12,8.157894736842104,15.5
치지직,크 래 커,10.8,4,1.3796296296296295,14.9
치지직,한심한김진돌,1.4,13,10.142857142857142,14.2
치지직,768,4.6,5,3.0652173913043477,14.1
치지직,껨돌쇠,4,6,3.425,13.7
치지직,깅재 Gingjae,23.9,4,0.5732217573221757,13.7
SOOP,노치84,6.8,2,1.8970588235294117,12.9
치지직,김 파,1.8,13,6.944444444444445,12.5
치지직,심해새우Abyssshrimp0326,3.4,6,3.5588235294117645,12.1
치지직,아라리 Arari,3.3,7,3.606060606060606,11.9
SOOP,걍놀고싶어요,5.3,3,2.207547169811321,11.7
치지직,아스테온0809,5.7,4,2.017543859649123,11.5
SOOP,으밍,1.9,7,5.947368421052632,11.3
치지직,나는촙촙이야,35.8,5,0.30726256983240224,11
치지직,카카리키,3.1,6,3.5161290322580645,10.9
치지직,진짜 하련,2.1,9,5.0476190476190474,10.6
치지직,Gigi Roh 지지 로,2.6,7,4.038461538461538,10.5
치지직,디오 Dio,4.1,5,2.5609756097560976,10.5
SOOP,oEarlGrey,3.2,4,3.21875,10.3
SOOP,휘야.,3.3,3,3,9.9
치지직,비버o,7.5,3,1.2266666666666666,9.2
SOOP,ThePawn02,2.3,5,3.9565217391304346,9.1
치지직,슈파두파디바,3.1,5,2.903225806451613,9
치지직,삶은계란,3.8,5,2.289473684210526,8.7
치지직,현단영,8.8,4,0.9886363636363636,8.7
SOOP,윤워커,2.7,4,3.1481481481481484,8.5
SOOP,강드-,2.6,5,3.230769230769231,8.4
SOOP,원숭이나무에,3.7,4,2.2162162162162162,8.2
치지직,카에라드,8.4,3,0.9404761904761905,7.9
치지직,applemale,6.1,3,1.278688524590164,7.8
치지직,이라 2ra,1.7,6,4.352941176470588,7.4
치지직,순희 SUNY,0.7,11,10.428571428571429,7.3
치지직,금단민우,2.9,5,2.5172413793103448,7.3
치지직,빈함,4.7,4,1.553191489361702,7.3
치지직,돋이킥,2.9,4,2.5172413793103448,7.3
치지직,ShangriLaCoi,3.6,3,1.9722222222222223,7.1
치지직,최벽돌,4.1,4,1.7317073170731707,7.1
치지직,고란 goran,2.7,4,2.6296296296296298,7.1
치지직,레 구리,2.3,5,3.0434782608695654,7
치지직,갓정이,19.9,2,0.35175879396984927,7
치지직,안보라,4.8,3,1.4583333333333333,7
SOOP,택견_,1.9,4,3.6315789473684212,6.9
치지직,꼬리귀신,5.1,3,1.3529411764705883,6.9
치지직,미대곰,6.5,2,1.0307692307692307,6.7
치지직,글여우,4.5,3,1.4666666666666666,6.6
치지직,나린이,0.3,23,22,6.6
치지직,애츠,5,4,1.32,6.6
치지직,패코,4,3,1.625,6.5
치지직,DEANTRBLL,2.6,5,2.3846153846153846,6.2
치지직,oEarlGrey,3.2,4,1.90625,6.1
치지직,해초씨앗,1.4,6,4.285714285714286,6
치지직,채닝닝,2.6,4,2.3076923076923075,6
치지직,렌지의 뎅굴뎅굴,16.7,3,0.3592814371257485,6
치지직,이완센세 Ivan Sensei,2,5,2.95,5.9
치지직,에그머니야,5.1,3,1.1176470588235294,5.7
치지직,제루브,4.6,3,1.1956521739130435,5.5
치지직,상자 sang ja,2.1,4,2.619047619047619,5.5
치지직,쿠심,2.5,6,2.16,5.4
치지직,lililili1,6,4,0.8666666666666667,5.2
SOOP,**쭈니아빠**,2.6,2,1.9615384615384615,5.1
치지직,인사이트,2.3,4,2.217391304347826,5.1
SOOP,ProfessorK,1.5,4,3.1333333333333333,4.7
치지직,아스드,1.2,5,3.5833333333333335,4.3
치지직,나충기1,27.3,2,0.14652014652014653,4
치지직,호떡핑크,3.6,2,1.0833333333333333,3.9
치지직,라피LaFi,2.1,4,1.8571428571428572,3.9
치지직,은진이,0.9,8,4.333333333333333,3.9
치지직,세가족 아빠,3.8,3,0.9736842105263158,3.7
치지직,도환123,0.7,6,5.142857142857143,3.6
치지직,꿀빠리,1.7,4,2.1176470588235294,3.6
SOOP,래비트_,2.2,3,1.5909090909090908,3.5
치지직,금눈새,3,2,1.1666666666666667,3.5
치지직,천태율,9,3,0.35555555555555557,3.2
치지직,brianteal,3.4,2,0.9411764705882353,3.2
치지직,아르카딘,6.4,2,0.5,3.2
치지직,양결,3.2,2,0.9375,3
치지직,버거그만머거,3,3,1,3
