플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,강퀴88,6,2,2,12,5,680,435.18,2175.9
치지직,박득천,6.2,7,11,1,270.9,133,54.430047988187525,14745.1
치지직,끠월마녀,6.8,8,8,5,57.1,124,71.25218914185639,4068.5
치지직,노페,9,1,1,21,3,922,453.23333333333335,1359.7
치지직,렛 삐,9.2,12,14,3,155,76,42.83806451612903,6639.9
SOOP,화여니,10.2,15,16,2,325.2,67,38.775522755227556,12609.8
SOOP,꾸티뉴,13.6,4,4,28,2.9,467,393.13793103448273,1140.1
치지직,꽃분홍,14.6,13,12,18,32.6,74,47.941717791411044,1562.9
SOOP,해리,15,3,3,33,2.5,522,395.96,989.9
치지직,마하라지,21.6,18,34,11,109.7,58,20.452142206016408,2243.6
치지직,차금지,22.6,21,42,4,235.2,49,17.953231292517007,4222.6
치지직,하이유ㅎ,23.2,10,13,40,16.5,77,45.93939393939394,758
치지직,냐 미 Nyami,23.4,9,6,48,5.9,121,107.67796610169492,635.3
치지직,렘쨩,23.6,16,20,31,36.7,66,29.96457765667575,1099.7
SOOP,아드레날린。,24.6,29,33,14,94.9,39,20.952581664910433,1988.4
치지직,이리온 lrion,24.8,6,7,52,6.3,152,92.07936507936508,580.1
치지직,악동 김블루,25.4,5,5,56,2.1,345,251.85714285714286,528.9
SOOP,로지rozi,25.6,24,46,6,208.8,46,17.329980842911876,3618.5
치지직,현은빈,27,21,48,9,169,49,16.078698224852072,2717.3
치지직,Doman도만,29.2,20,56,7,238.8,53,15.088777219430487,3603.2
치지직,이 소 에,32,10,9,66,6.5,77,63.55384615384615,413.1
치지직,도그홀,33.2,36,52,13,137.4,37,15.466521106259098,2125.1
치지직,감쑥이,33.8,25,38,34,50.8,45,19.12795275590551,971.7
SOOP,박현정,34.2,45,43,20,81.3,31,17.682656826568266,1437.6
치지직,융 쁘,35.2,26,26,49,26.4,42,23.984848484848484,633.2
