플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
SOOP,박현정,4.2,7,6,1,112,28,19.355357142857144,2167.8
치지직,도그홀,5,3,7,4,34.5,37,17.828985507246376,615.1
치지직,새롬이 Saeromi,5.6,2,10,3,54,44,13.685185185185185,739
SOOP,서경주,8.6,15,12,2,91.4,18,9.902625820568927,905.1
치지직,젠드로 Jendro,9.8,5,11,11,22.6,29,9.97787610619469,225.5
SOOP,화여니,10,4,2,21,5.4,35,26.555555555555557,143.4
치지직,헌재HeonJae,11.8,13,17,6,44.6,20,9.190582959641256,409.9
치지직,박득천,13.8,1,1,33,1.7,53,42.588235294117645,72.4
치지직,솜탕Somtang,14.4,12,13,17,15.9,21,9.849056603773585,156.6
치지직,릴쓰,14.6,9,18,14,19.4,26,8.95360824742268,173.7
치지직,융 쁘,15.8,5,3,34,3.2,29,22.46875,71.9
치지직,유건 패브로,18.4,18,30,7,47.9,15,7.018789144050104,336.2
치지직,아기노랑,18.6,15,31,8,46.5,18,7.017204301075269,326.3
치지직,현은빈,19,15,21,19,18.2,18,8.39010989010989,152.7
치지직,유함이,20,18,23,18,18.8,15,8.164893617021276,153.5
SOOP,아임쏨,21.8,11,8,41,2.7,22,17.296296296296298,46.7
치지직,누후잉,21.8,13,9,39,3.3,20,14.93939393939394,49.3
치지직,다루쥐,22.4,8,4,48,1.6,27,22.25,35.6
치지직,햄쮸맨,23.2,18,40,9,52.1,15,5.856046065259117,305.1
SOOP,오리넉구리,23.2,34,36,5,83.3,11,6.524609843937575,543.5
치지직,세라몬,25,25,25,25,14.4,13,7.888888888888889,113.6
치지직,백범자,27.8,21,16,43,4.5,14,9.355555555555556,42.1
치지직,나지안,28.6,25,49,10,52.9,13,5.013232514177694,265.2
치지직,렉 시,29,21,24,38,6.4,14,7.9375,50.8
치지직,뱀용,29,21,34,28,14.9,14,6.597315436241611,98.3
SOOP,달리미르,29.6,44,32,20,22.1,9,6.882352941176471,152.1
치지직,띵동 Ddingdong,30,30,37,23,19.1,12,6.2408376963350785,119.2
SOOP,아라리_-,30,30,15,45,4.2,12,9.452380952380953,39.7
치지직,혜지는혜지,30.6,25,28,36,8.1,13,7.7407407407407405,62.7
치지직,하보냐,33,25,44,26,19,13,5.494736842105263,104.4
치지직,MULTISSUE,33.8,39,53,12,36.7,10,4.790190735694823,175.8
치지직,김망고SS2,34.6,25,52,22,29.1,13,4.814432989690721,140.1
치지직,쇼 시,35,39,39,29,14.5,10,5.875862068965517,85.2
치지직,렛 삐,35.2,10,5,78,0.7,25,21.857142857142858,15.3
SOOP,피아__,35.2,34,20,51,3.7,11,8.72972972972973,32.3
치지직,아라리 Arari,35.8,21,29,50,4.5,14,7.733333333333333,34.8
치지직,다우리,36.6,39,26,46,5,10,7.84,39.2
SOOP,강드-,37.4,49,56,13,40.3,8,4.344913151364764,175.1
SOOP,도그홀,38,44,57,16,36.4,9,4.34065934065934,158
치지직,서제리,42,44,68,15,55.5,9,3.0414414414414415,168.8
치지직,oyagato,46.4,34,19,80,1.6,11,8.875,14.2
SOOP,Rity~,47.2,34,22,79,1.8,11,8.38888888888889,15.1
치지직,게임조무사GameJomusa,47.4,49,67,27,33.3,8,3.081081081081081,102.6
치지직,게임하는오늘,50.2,49,45,56,5.1,8,5.470588235294118,27.9
치지직,깨액,50.2,39,38,68,2.9,10,6.206896551724138,18
치지직,백만봉,50.8,34,75,35,26.6,11,2.5150375939849625,66.9
치지직,루 니,50.8,30,14,98,0.6,12,9.833333333333334,5.9
치지직,미토키,51.2,30,27,86,1.2,12,7.75,9.3
치지직,최강후야,52.2,49,82,24,49.1,8,2.3319755600814664,114.5
치지직,연낭찬,53.8,49,79,31,33.5,8,2.4149253731343285,80.9
