플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,멍개 MungGgae,1126.6,1055,1146,1143,4.4,9,5.045454545454546,22.2
치지직,채유현,1126.8,1166,1169,1065,5.1,8,4.9411764705882355,25.2
치지직,송스루,1128.4,1166,858,1380,2.2,8,6.818181818181818,15
SOOP,사운드^ㅡ^,1128.4,1292,1309,866,8.8,7,4.306818181818182,37.9
치지직,진 혁,1128.6,1055,1639,655,18.5,9,3.189189189189189,59
치지직,해설아 HaeSeolA,1128.8,940,991,1361,2.6,10,5.961538461538462,15.5
치지직,어도비학생할인,1130.6,1055,1224,1075,5.3,9,4.660377358490566,24.7
치지직,미스터 스노우 Mr snow,1133.6,940,1440,924,8.7,10,3.8275862068965516,33.3
치지직,귤땅 gyulchan,1135.2,702,444,2043,0.4,13,12.5,5
씨미,베스타,1135.6,1166,1249,1007,6.1,8,4.540983606557377,27.7
치지직,송먀옹,1135.6,768,668,1787,0.9,12,8.666666666666666,7.8
치지직,덕봉초이,1137.2,1166,939,1321,2.6,8,6.3076923076923075,16.4
SOOP,sp1nel,1141,843,933,1498,2,11,6.35,12.7
치지직,마이클 춘례,1142,1292,1223,986,6.2,7,4.661290322580645,28.9
치지직,호 감,1143.8,843,620,1818,0.8,11,9.25,7.4
치지직,킹으나,1144,1292,1577,637,18.2,7,3.3956043956043955,61.8
SOOP,꽃삐D.T.P,1144,1166,840,1437,2,8,6.95,13.9
치지직,로렘mk2,1145.6,1166,983,1298,2.9,8,6,17.4
치지직,루네리 Luneri,1145.8,1055,876,1461,2,9,6.7,13.4
SOOP,호아띠☆,1145.8,1055,876,1461,2,9,6.7,13.4
치지직,김망고O,1146.6,1055,1049,1290,3.1,9,5.645161290322581,17.5
치지직,강남진,1146.8,940,1566,831,11.8,10,3.4491525423728815,40.7
SOOP,찬임,1148.6,843,542,1908,0.6,11,10.5,6.3
SOOP,suna03,1149,1667,1609,430,33.9,5,3.274336283185841,111
SOOP,아론페이지_,1149.6,1166,1099,1192,3.8,8,5.342105263157895,20.3
치지직,류단비,1150.6,843,1001,1454,2.3,11,5.913043478260869,13.6
SOOP,다쿠_,1152.6,1473,1456,689,14.5,6,3.779310344827586,54.8
치지직,하르셀린,1153.2,1166,1274,1026,6,8,4.433333333333334,26.6
치지직,거짓이슬,1154.4,940,1459,957,8.1,10,3.765432098765432,30.5
치지직,마철용3,1154.4,768,1094,1408,2.7,12,5.37037037037037,14.5
치지직,몰랑2,1155,1055,1082,1278,3.3,9,5.424242424242424,17.9
치지직,아시모프A158,1155.4,1055,1128,1233,3.7,9,5.162162162162162,19.1
SOOP,성찬킴,1156,1166,1039,1268,3.2,8,5.6875,18.2
치지직,굴굴,1156.4,940,841,1580,1.6,10,6.9375,11.1
치지직,지발2,1156.4,768,569,1938,0.6,12,10,6
치지직,핸떠기,1157.2,702,530,2012,0.5,13,10.6,5.3
치지직,지모zimo,1160.4,1292,1503,752,13.3,7,3.6390977443609023,48.4
SOOP,멜랴.,1160.6,1055,1060,1314,3,9,5.566666666666666,16.7
SOOP,bananabacon,1161,1055,938,1437,2.2,9,6.318181818181818,13.9
SOOP,따승,1161.4,1473,1287,880,8.5,6,4.376470588235295,37.2
치지직,시메접음,1163.2,552,1683,949,10.2,16,3.0294117647058822,30.9
치지직,오뵤,1164.4,1292,1555,710,15,7,3.493333333333333,52.4
치지직,셀레니아 아리엘,1164.8,940,899,1543,1.8,10,6.555555555555555,11.8
치지직,김네기1030,1164.8,768,751,1777,1,12,7.9,7.9
치지직,파라쏠,1165,1055,963,1422,2.3,9,6.173913043478261,14.2
치지직,김리에,1166.2,1055,1087,1301,3.2,9,5.40625,17.3
치지직,멩늉,1166.6,1055,928,1461,2.1,9,6.380952380952381,13.4
치지직,타로12,1167.8,1055,1590,802,13.3,9,3.345864661654135,44.5
치지직,꽃라오,1168.4,1292,1462,813,11.5,7,3.756521739130435,43.2
치지직,울리지마용,1168.8,1292,1536,740,14,7,3.55,49.7
치지직,빵 봉 투,1170.4,768,530,2012,0.5,12,10.6,5.3
치지직,부산촌놈최씨,1171.6,1292,1648,635,19.6,7,3.1581632653061225,61.9
치지직,l늘푸름l,1172.6,1055,1488,916,9.3,9,3.6666666666666665,34.1
치지직,멍 지,1174,1166,1254,1098,5.3,8,4.528301886792453,24
SOOP,굴굴2,1174.2,1055,975,1433,2.3,9,6.086956521739131,14
SOOP,에임실종,1175,1667,1608,496,27.9,5,3.2759856630824373,91.4
치지직,오만찡,1176,940,1737,733,17.5,10,2.874285714285714,50.3
치지직,중성,1180.4,1166,1288,1080,5.6,8,4.375,24.5
치지직,기남시,1180.6,1055,912,1512,1.9,9,6.473684210526316,12.3
SOOP,OW_Improve,1180.8,1292,1320,986,6.8,7,4.25,28.9
치지직,최연식,1181.4,1055,1263,1163,4.7,9,4.48936170212766,21.1
치지직,유유o,1183.2,1166,1007,1368,2.6,8,5.884615384615385,15.3
SOOP,콩빈,1185.8,1473,1284,944,7.1,6,4.394366197183099,31.2
SOOP,유나PLANNA,1186.2,1055,728,1710,1.1,9,8.090909090909092,8.9
치지직,o 프리엘 o,1186.4,940,843,1653,1.4,10,6.928571428571429,9.7
치지직,치지직도붕이,1190.8,940,1601,906,10.5,10,3.3047619047619046,34.7
치지직,사니사나,1191.8,1055,905,1547,1.8,9,6.5,11.7
치지직,퍼인우,1192.8,1292,1385,951,7.6,7,4.0394736842105265,30.7
치지직,안찡,1192.8,940,825,1687,1.3,10,7.076923076923077,9.2
치지직,레드오랭지,1193.2,940,966,1547,1.9,10,6.157894736842105,11.7
치지직,열무엄마,1195.4,1055,1439,1022,7,9,3.8285714285714287,26.8
치지직,필살나노융화,1195.8,1055,1386,1076,6.1,9,4.032786885245901,24.6
치지직,저등아,1198.4,768,569,2043,0.5,12,10,5
