플랫폼,날짜,방송시간,최고 활성 스트리머,평균 활성 스트리머,6분 최고채팅,6분 평균 채팅수,최고 시청자,평균 시청자,뷰어십 (평균*방송시간)
SOOP,2026.04.01 (수),336,1020,491,19550,2071,106197,15731,5285547
씨미,2026.04.01 (수),103.8,6,4,0,0,36,7,746
치지직,2026.04.01 (수),336,823,744,8166,984,25552,2934,985858
SOOP,2026.03.01 (일),739.8,288,138,13363,453,91983,3322,2457251
씨미,2026.03.01 (일),172.8,16,7,0,0,1152,16,2722
치지직,2026.03.01 (일),744,889,756,15328,1448,68116,5878,4373598
SOOP,2026.02.01 (일),413.4,146,110,5757,175,27587,952,393760
치지직,2026.02.01 (일),372,959,864,24939,2530,84925,11664,4338912
