플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
SOOP,봉준,1.4,1,1,2,19.4,49279,22370.634020618556,433990.3
SOOP,김민교.,1.6,2,2,1,31.2,31742,18721.55128205128,584112.4
SOOP,이상호,3.8,5,3,4,18,17580,11982.333333333334,215682
SOOP,항상#킴성태,4.4,4,6,3,35.6,19817,7582.955056179775,269953.2
SOOP,owesports,7,7,8,6,19.1,7559,5592.701570680629,106820.6
SOOP,감스트,7.4,3,5,12,5.7,20633,8758.298245614034,49922.3
SOOP,저라뎃,9.4,9,14,5,40.8,6808,3225.607843137255,131604.8
SOOP,우왁굳,10.4,6,4,19,2.8,12226,10939.107142857143,30629.5
SOOP,남순,10.8,10,13,9,14.6,6766,4083.3835616438355,59617.4
SOOP,타요*,14.4,14,11,18,7,5786,4569.142857142857,31984
SOOP,이지상:),16.4,12,22,13,24,6339,1977.375,47457
SOOP,오아,17.6,20,26,8,48,3872,1578.2145833333334,75754.3
SOOP,철구형2↑,17.8,11,9,30,3.5,6444,5155.942857142857,18045.8
SOOP,징버거☆,18.6,17,18,20,10.1,4194,2977.4158415841584,30071.9
치지직,탬탬버린,19.2,8,7,37,2.1,7189,6085.523809523809,12779.6
치지직,아카네 리제,19.2,18,16,23,9.1,4116,3093.802197802198,28153.6
SOOP,임아니,20,22,32,7,60.8,3586,1325.3486842105262,80581.2
SOOP,비챤,20.6,19,17,25,8,3915,3024.475,24195.8
치지직,김뚜띠,21,13,10,36,2.7,5788,4789.851851851852,12932.6
SOOP,지피티,21.4,27,25,15,21.3,2654,1792.8309859154929,38187.3
치지직,빅헤드,22,24,27,16,22.6,2841,1526.9557522123894,34509.2
치지직,아오쿠모 린,23,21,15,32,4.9,3817,3195.795918367347,15659.4
SOOP,감블러,24.8,26,39,10,52.8,2681,1114.8598484848485,58864.6
SOOP,깨박이깨박이,26.2,15,19,39,4.9,5086,2539.877551020408,12445.4
SOOP,수피,26.8,34,36,14,32.2,1954,1191.1863354037266,38356.2
SOOP,강만식,27.4,23,46,11,60.7,3024,887.1186161449752,53848.1
치지직,다주,29.8,25,24,38,6.8,2703,1875.8529411764705,12755.8
SOOP,클리드1,33.8,33,41,27,19.2,2051,1079.4375,20725.2
SOOP,일루전_,35.6,28,53,22,36.7,2574,777.1144414168938,28520.1
SOOP,깐숙,35.6,50,43,21,27.9,1482,1030.9498207885304,28763.5
SOOP,띵귤_,38.2,35,30,48,7.2,1880,1362.763888888889,9811.9
SOOP,도현ツ,39,45,51,24,32.4,1601,801.6635802469136,25973.9
SOOP,EscA_에스카,39,29,57,26,29.3,2525,709.9044368600682,20800.2
SOOP,쪼낙,40,40,47,33,17.1,1655,871.8713450292398,14909
치지직,치킨쿤,41.8,53,49,29,22,1343,850.290909090909,18706.4
치지직,서넹,42.8,58,61,17,51.5,1214,669.8135922330097,34495.4
치지직,소우릎,44.4,56,52,31,20.8,1255,797.9182692307693,16596.7
치지직,마뫄,44.6,43,40,50,8.5,1621,1085.5058823529412,9226.8
치지직,아라하시 타비,46.4,16,12,96,0.9,4538,4095.1111111111113,3685.6
SOOP,(주)박사장$,46.8,48,38,55,6.7,1507,1116.2835820895523,7479.1
치지직,사키하네 후야,47,31,21,81,2,2311,2171.85,4343.7
SOOP,Calm_김윤환,48.8,32,23,83,2.1,2289,1963.7142857142858,4123.8
SOOP,Alo.조경훈,50.2,37,34,73,4.3,1787,1214.139534883721,5220.8
SOOP,키마,50.4,44,33,71,4.3,1602,1271.7441860465117,5468.5
SOOP,양도끼,53.8,65,62,40,19.3,1040,643.0103626943005,12410.1
치지직,너불,54.6,39,29,88,2.8,1676,1387.642857142857,3885.4
SOOP,단츄♪,56.4,36,28,95,2.5,1795,1499.52,3748.8
SOOP,나는상윤,56.8,66,75,34,27.6,1029,523.304347826087,14443.2
SOOP,지붕위소희,58.2,59,70,46,16.8,1138,606,10180.8
SOOP,김된모!,58.2,71,63,47,15.5,950,634.9741935483871,9842.1
SOOP,해리,59,69,71,42,19.3,972,580.7564766839379,11208.6
SOOP,조디악악악,59.8,61,91,28,53.1,1111,378.07721280602635,20075.9
SOOP,학살~,60.4,54,81,43,22.3,1325,490.9596412556054,10948.4
SOOP,“클로이”,61.2,42,97,35,37,1626,352.18108108108106,13030.7
치지직,유즈하 리코,62.8,30,20,122,1.1,2367,2228.4545454545455,2451.3
SOOP,중력∀,63,85,66,49,15,787,624.4933333333333,9367.4
치지직,핑맨,66.6,47,45,98,3.5,1533,983.3142857142857,3441.6
SOOP,마이곰이_,67.6,46,31,115,2,1596,1345.4,2690.8
치지직,채현찌,68.2,41,42,108,2.7,1627,1077.6296296296296,2909.6
SOOP,바밍_,69.2,72,96,41,34.9,947,354.86819484240687,12384.9
SOOP,한결___,70.2,63,58,86,5.8,1077,694.948275862069,4030.7
SOOP,디임,74.4,60,65,91,6,1129,632.5833333333334,3795.5
SOOP,한갱,76,52,35,129,1.9,1369,1206.8947368421052,2293.1
SOOP,꾸티뉴,79,99,76,72,10.3,616,511.80582524271847,5271.6
치지직,임나은,80.8,80,86,76,12.4,846,403.33870967741933,5001.4
SOOP,으냉이,81,93,94,62,17.7,646,358.8587570621469,6351.8
SOOP,울산큰고래,81,95,78,77,9.6,636,508.0208333333333,4877
SOOP,챈나,81,73,50,116,3.2,940,837.25,2679.2
SOOP,뽀린걸,81.4,117,87,58,17.1,530,399.65497076023394,6834.1
치지직,금사향,81.6,64,48,124,2.8,1044,858.75,2404.5
SOOP,설레랑,83,73,89,82,10.5,940,397.9714285714286,4178.7
치지직,삐부,85.4,103,110,52,29.8,583,282.2013422818792,8409.6
SOOP,파니_,86.4,90,126,45,44.3,730,235.04740406320542,10412.6
치지직,아구이뽀,86.4,38,72,125,4.3,1760,555.1162790697674,2387
SOOP,앵지,87.8,111,113,51,33.1,545,271.99093655589127,9002.9
치지직,블레어 로즈,89,55,37,158,1.4,1303,1150.857142857143,1611.2
치지직,이선생,90.6,135,115,44,41.2,402,262.75485436893206,10825.5
치지직,실프,91.2,88,74,110,5.2,731,549.1923076923077,2855.8
SOOP,한둬얼,91.6,70,55,139,2.6,955,736,1913.6
SOOP,아이치,92,84,85,103,7.9,795,405.2151898734177,3201.2
SOOP,성기사샬롯,92.2,51,111,94,13.4,1425,281.5074626865672,3772.2
치지직,푸린,92.8,100,92,90,10.2,615,372.5,3799.5
치지직,설백,92.8,122,107,64,21.2,498,290.97169811320754,6168.6
치지직,행돌,93.4,91,77,111,5.5,684,508.1272727272727,2794.7
SOOP,키이세,93.6,110,118,61,25.5,558,252.26666666666668,6432.8
치지직,디디디용,94.2,57,44,163,1.5,1253,1019.8,1529.7
치지직,담유이,95.2,96,90,100,8.3,624,397.71084337349396,3301
SOOP,한남맛종욱,95.6,94,138,54,34.6,640,218.10115606936415,7546.3
SOOP,해기_,96.4,114,106,78,16.5,537,291.2909090909091,4806.3
