플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
SOOP,김민교.,1.4,1,1,2,13.3,15482,11723.924812030074,155928.2
SOOP,owesports,1.6,2,2,1,27.5,11943,7466.254545454545,205322
SOOP,징버거☆,4.4,4,5,4,16.9,7127,3503.644970414201,59211.6
SOOP,고세구!,4.6,3,4,6,12.5,10526,3562.368,44529.6
치지직,텐코 시부키,6,6,3,9,3.3,6693,5321.515151515152,17561
SOOP,제갈금자,7,5,7,8,7.6,6845,2761.3815789473683,20986.5
SOOP,일루전_,7,7,11,3,36.9,5889,2349.8482384823847,86709.4
치지직,아오쿠모 린,9.2,8,6,13,3,3747,2999.5666666666666,8998.7
SOOP,쪼낙,9.4,11,13,5,36.3,3206,1293.2727272727273,46945.8
SOOP,강만식,10.2,13,12,7,16.2,2323,1419.8827160493827,23002.1
치지직,하나코 나나,10.6,9,8,14,3,3424,2644.6,7933.8
치지직,유즈하 리코,12,10,10,15,3.1,3423,2487.064516129032,7709.9
SOOP,깐숙,12.8,14,14,11,13.5,1950,1231.3703703703704,16623.5
SOOP,악어∀,15,17,17,12,16,1285,776.00625,12416.1
SOOP,아이치,15,19,18,10,22,1210,757.9272727272727,16674.4
SOOP,감블러,17.2,16,16,19,5.3,1436,1036.7924528301887,5495
치지직,아카네 리제,17.2,12,9,28,1.3,2880,2530.4615384615386,3289.6
치지직,양아지,22,18,20,26,5.4,1228,684.6111111111111,3696.9
치지직,계춘회,22.2,15,15,33,2,1438,1107.65,2215.3
치지직,쪼낙,24.4,24,26,23,11.7,587,374.8888888888889,4386.2
치지직,에땁01,28.2,31,31,24,14.2,478,291.19718309859155,4135
치지직,쟁구임,29,27,28,31,7.2,547,333.56944444444446,2401.7
치지직,류제홍S,29.8,25,22,40,3.8,579,469.36842105263156,1783.6
치지직,바이올렛잇고,30.4,28,24,38,4.6,539,392.2391304347826,1804.3
치지직,소우릎,31.6,22,19,49,2.2,786,696.4545454545455,1532.2
SOOP,디엠이무니다,32.4,32,49,16,45.1,454,166.99334811529934,7531.4
SOOP,파니_,33,33,37,29,13,432,245.66153846153847,3193.6
치지직,팔차선8,37,21,64,18,42.1,793,144.16389548693587,6069.3
치지직,윤산삼,38.2,55,48,20,26.1,266,178.88505747126436,4668.9
SOOP,aidragon,38.4,56,46,22,23.8,263,184.47899159663865,4390.6
SOOP,칸_김동하,38.8,20,55,32,14.4,898,159.75,2300.4
SOOP,베베리,41.6,54,41,36,8.7,270,229.80459770114942,1999.3
치지직,엘시v,42.2,23,21,73,1.7,682,601.7647058823529,1023
치지직,주루,42.4,52,59,21,30.8,274,150.16233766233765,4625
SOOP,바밍_,43.8,35,34,58,5,418,261.6,1308
치지직,볼가지 bug,44.2,47,62,25,25.6,299,148.01171875,3789.1
치지직,설백,44.4,36,27,66,3.1,398,355.6774193548387,1102.6
치지직,김동학,47.4,49,47,47,8.4,286,184.35714285714286,1548.6
SOOP,stalk3row,49.4,45,42,59,5.8,304,224.20689655172413,1300.4
치지직,푸린,49.6,38,30,75,3.3,354,292.5151515151515,965.3
치지직,유후의피아노래,49.8,53,53,45,10.4,273,160.60576923076923,1670.3
치지직,디디디용,51.2,28,23,91,1.9,539,418.8421052631579,795.8
치지직,아이치,51.6,44,40,67,4.7,307,230.2340425531915,1082.1
치지직,Akaros83,51.8,59,45,55,7.4,230,190.1216216216216,1406.9
치지직,서넹,52,30,29,86,2.7,535,322.55555555555554,870.9
SOOP,망개,52.8,26,73,46,14.2,578,115.83098591549296,1644.8
치지직,프로핏 Profit,55.4,43,60,57,9.1,309,149.03296703296704,1356.2
치지직,갱쥰,56,74,86,17,73.3,165,91.39972714870396,6699.6
치지직,세노 SEN5,56,70,61,44,11.7,186,148.04273504273505,1732.1
SOOP,마로니!,56.2,41,38,82,3.7,338,241.94594594594594,895.2
SOOP,초롱CH0R0NG,56.4,42,51,69,6.5,317,165.12307692307692,1073.3
치지직,김편집,57,37,35,89,3.3,360,253.3939393939394,836.2
SOOP,홍현성.,61.2,48,39,90,3.5,287,234.68571428571428,821.4
SOOP,목츄리,61.4,51,78,50,15,279,101.04,1515.6
치지직,향아치,62,34,25,113,1.6,431,388.1875,621.1
치지직,ㅇ연이ㅇ,63.2,40,36,102,2.9,340,247.13793103448276,716.7
치지직,권세이,63.6,84,80,37,19.9,138,99.00502512562814,1970.2
치지직,근모닝,63.8,81,92,27,41.3,142,84.31719128329298,3482.3
치지직,나무늘보OW,68,86,97,30,33.6,135,77.98809523809524,2620.4
SOOP,MAX?,68.4,64,69,70,8.3,190,128.27710843373495,1064.7
치지직,프로즈,69.2,64,58,83,5.8,190,153.20689655172413,888.6
치지직,담유이,70.6,39,32,125,2,353,282.7,565.4
SOOP,owesportsjp,72.8,58,111,42,26.8,247,65.34701492537313,1751.3
치지직,삐라입니다,73.4,77,89,56,15.6,155,87.77564102564102,1369.3
치지직,쿨 쿨 이,76,88,98,48,20,132,77.245,1544.9
치지직,Proud,78,62,52,112,3.9,197,161.2051282051282,628.7
치지직,츠밍,79.8,57,43,128,2.5,260,219.96,549.9
치지직,징 가,81.2,94,115,41,27.8,125,63.86690647482014,1775.5
치지직,멜랴,82.8,90,88,74,11.3,130,87.95575221238938,993.9
치지직,게구리,83,85,87,78,10.3,137,91.37864077669903,941.2
치지직,김덕만 KDM,85,63,65,116,4.3,194,141.34883720930233,607.8
치지직,디엠이무니다,86.2,103,110,54,21,113,67.07619047619048,1408.6
치지직,헤이 heyy,88.8,124,125,35,35.6,89,58.04494382022472,2066.4
SOOP,립LIP,88.8,80,81,101,7.4,143,97.27027027027027,719.8
치지직,은뿌,89.4,71,67,121,4.3,183,135.8372093023256,584.1
치지직,어스키,89.6,102,130,43,31.4,115,55.56369426751592,1744.7
치지직,일루전입니다,90.2,67,77,115,5.6,188,109.30357142857143,612.1
치지직,광말구짱,91.2,66,50,145,2.7,189,166.25925925925927,448.9
SOOP,HeeSang1,92.8,60,63,139,3.4,207,145.05882352941177,493.2
SOOP,손승아_♥,93,61,138,64,23,199,50.369565217391305,1158.5
치지직,유봄냥,94.4,78,71,126,4.7,149,117.61702127659575,552.8
치지직,치요우,96.2,87,100,97,10,134,75.04,750.4
치지직,냐 미 Nyami,96.2,73,54,150,2.6,168,159.76923076923077,415.4
치지직,미라클TV,96.6,83,76,124,5.2,141,109.51923076923077,569.5
치지직,Kaiser카이저,96.8,96,123,71,17.7,122,58.44632768361582,1034.5
치지직,유우스즈 무무,97.8,79,70,135,4.1,146,126.8780487804878,520.2
치지직,Uann 유안,105.6,98,152,63,25.9,120,45.054054054054056,1166.9
치지직,이 리 온,106.2,75,66,162,2.7,164,139.7037037037037,377.2
치지직,슈이입니다,106.6,107,162,51,35.6,106,41.76966292134831,1487
치지직,smurf5,108.8,122,117,94,12.4,90,61.153225806451616,758.3
치지직,따람지,109.4,137,140,65,22.9,80,49.580786026200876,1135.4
치지직,람썬,109.6,72,84,154,4.4,181,91.79545454545455,403.9
SOOP,깡담비,109.6,104,105,117,8.5,112,70.72941176470589,601.2
치지직,제이큐브,110,114,137,81,17.9,102,50.74301675977654,908.3
SOOP,김배키이,110.4,138,139,68,21.5,79,50.17674418604651,1078.8
치지직,Mer1t,112.4,88,85,152,4.5,132,91.6,412.2
치지직,OW 유니원스,112.8,122,144,77,20.1,90,47.353233830845774,951.8
SOOP,유시에,112.8,136,121,93,13.2,81,58.734848484848484,775.3
치지직,네이키드 naked,113,127,114,105,10.4,88,63.88461538461539,664.4
치지직,꽃핀,113.6,68,57,193,1.9,187,155,294.5
치지직,해옥 HAEOK,114.4,100,109,127,8.2,116,67.40243902439025,552.7
치지직,시메빈,114.8,100,142,95,15.4,116,49.01948051948052,754.9
치지직,제에스트,114.8,76,68,181,2.4,156,130.04166666666666,312.1
치지직,갓샤인2,115,49,33,230,0.9,286,268,241.2
SOOP,빡준빈,115.8,93,74,169,3.1,128,112.7741935483871,349.6
SOOP,oPuTo,116.2,159,158,53,32.3,64,43.61300309597523,1408.7
치지직,텝텝,117.8,107,101,140,6.5,106,74.13846153846154,481.9
SOOP,뢴트게늄,119.6,68,56,209,1.7,187,158.1764705882353,268.9
SOOP,다키_,121.8,131,128,111,11.4,83,56.219298245614034,640.9
치지직,owKira,123.2,130,164,79,23,85,40.74782608695652,937.2
치지직,빅박스,123.4,111,134,119,11.5,105,51.7304347826087,594.9
치지직,꾸리쨩,126.4,138,151,96,16.6,79,45.295180722891565,751.9
치지직,김길현,126.6,97,104,164,5.1,121,71.90196078431373,366.7
치지직,아오토라 유키,126.8,46,44,250,1,302,218.4,218.4
치지직,나나링 Nanaring,127.2,124,120,136,8.7,89,59.12643678160919,514.4
치지직,박진규02,128,156,190,52,45.3,65,32.10154525386314,1454.2
치지직,텐플라스텐 텐텐,131.8,107,96,180,4,106,79.4,317.6
치지직,Sley,132.2,115,141,132,10.8,100,49.083333333333336,530.1
치지직,알파이입니다,132.6,107,118,160,6.3,106,60.84126984126984,383.3
치지직,야켓,134.2,165,192,61,39.2,62,31.772959183673468,1245.5
SOOP,한아밍,136.6,91,167,129,13.9,129,39.48201438848921,548.8
치지직,펠리칸인디용,136.6,131,143,133,10.8,83,48.28703703703704,521.5
치지직,아론페이지,137.2,106,94,196,3.6,108,81.38888888888889,293
치지직,한나금,138.6,165,154,110,14.6,62,44.86986301369863,655.1
SOOP,유후피아노래,140.2,141,129,151,7.4,75,55.71621621621622,412.3
치지직,체크메이트입니다,140.2,91,75,230,2.2,129,109.63636363636364,241.2
치지직,쏭이,142.8,160,217,60,47.4,63,27.343881856540083,1296.1
치지직,제우스93,143.4,167,155,120,13.4,61,44.38059701492537,594.7
치지직,킴쿼카,143.8,195,228,34,80.8,50,25.850247524752476,2088.7
