플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,봉준,16.8,49722,25507.589285714286,428527.5
SOOP,김민교.,17.2,23215,15130.377906976744,260242.5
SOOP,이상호,16.5,19249,10602.448484848484,174940.4
SOOP,owesports,19.2,6745,4779.364583333333,91763.8
SOOP,이지상:),43.8,3044,1563.8013698630136,68494.5
치지직,실프,56.2,1789,971.0480427046264,54572.9
SOOP,깨박이깨박이,32.5,4676,1556.753846153846,50594.5
치지직,소우릎,36.7,2329,1308.7711171662124,48031.9
SOOP,항상#킴성태,7.8,9185,5966.333333333333,46537.4
치지직,서넹,61.9,1530,740.4281098546041,45832.5
SOOP,임아니,60.3,1683,755.1077943615257,45533
SOOP,오아,35.2,2148,1242.2244318181818,43726.3
SOOP,강만식,66.1,2316,659.6686838124054,43604.1
SOOP,저라뎃,16.5,3791,2348.169696969697,38744.8
SOOP,남순,9.4,5222,3872.5425531914893,36401.9
SOOP,도현ツ,44.3,1401,674.431151241535,29877.3
치지직,아오쿠모 린,6.3,5927,4689.079365079365,29541.2
SOOP,감블러,34.4,1204,778.7093023255813,26787.6
SOOP,일루전_,42.3,2374,632.4822695035461,26754
SOOP,조디악악악,80.7,596,311.5724907063197,25143.9
치지직,아카네 리제,5.2,4755,4041.480769230769,21015.7
치지직,다주,10.1,2744,1910.90099009901,19300.1
치지직,울프,12.5,2778,1519.472,18993.4
SOOP,깐숙,18.4,1406,953.9565217391304,17552.8
SOOP,수피,16.5,1465,1047.878787878788,17290
치지직,마뫄,16.8,1255,970.3392857142857,16301.7
SOOP,악어∀,15.2,4429,1044.6907894736842,15879.3
치지직,룩삼,8,2517,1983.7375,15869.9
SOOP,하리미★ミ,2.9,6874,5442.724137931034,15783.9
SOOP,쪼낙,31.1,1586,497.0032154340836,15456.8
SOOP,EscA_에스카,32.6,999,467.96625766871165,15255.7
치지직,강지,6.9,2888,2117.623188405797,14611.6
치지직,이선생,49.5,450,288,14256
치지직,치킨쿤,17.8,1243,770.2303370786517,13710.1
SOOP,안녕수야,18,1602,688.3277777777778,12389.9
SOOP,중력∀,23.1,806,533.030303030303,12313
SOOP,학살~,42.1,1049,278.8456057007126,11739.4
SOOP,“클로이”,30.1,895,363.0830564784053,10928.8
치지직,너불,13,1418,774.0230769230769,10062.3
SOOP,나는상윤,20.1,732,500.48258706467664,10059.7
SOOP,뽀린걸,26.2,649,357.87404580152673,9376.3
SOOP,타요*,1.3,7232,7012.461538461538,9116.2
치지직,빅헤드,8.5,1548,1057.6823529411765,8990.3
치지직,플레임,9.7,1545,924.1546391752578,8964.3
SOOP,김진솔,45,1072,194.77555555555554,8764.9
SOOP,바밍_,33.5,466,261.13432835820896,8748
치지직,선데이1,34.7,726,243.0893371757925,8435.2
치지직,러너,4.3,2899,1942.5116279069769,8352.8
SOOP,피넛ㅁ,3.7,3413,2206.5135135135133,8164.1
SOOP,나나문,18.3,663,417.08743169398906,7632.7
SOOP,김된모!,20.6,615,363.373786407767,7485.5
SOOP,˚다누리,11.3,1171,658.3982300884956,7439.9
치지직,임나은,21.7,584,335.98617511520735,7290.9
치지직,담유이,20,886,354.33,7086.6
치지직,볼가지 bug,36.4,286,190.50274725274724,6934.3
SOOP,한남맛종욱,36.2,483,186.48618784530387,6750.8
치지직,주루,42.3,478,155.83924349881798,6592
SOOP,파니_,40.6,413,161.93103448275863,6574.4
SOOP,애교용,26.5,451,234.19622641509434,6206.2
SOOP,뮤즈_MUSE,36.9,598,167.8048780487805,6192
치지직,꼴랑이,3.6,2269,1718.5277777777778,6186.7
치지직,윤산삼,35.7,324,172.05042016806723,6142.2
SOOP,키마,6.6,1502,906.2575757575758,5981.3
SOOP,하루묭.,21.6,818,266.9166666666667,5765.4
SOOP,비챤,2,3117,2830.35,5660.7
SOOP,상어녀,24.9,467,222.51807228915663,5540.7
SOOP,앵지,21.9,434,245.8310502283105,5383.7
치지직,하나코 나나,2,2897,2661.7,5323.4
치지직,0영듀0,6,1090,879.6,5277.6
치지직,쪼낙,17.5,449,296.01714285714286,5180.3
치지직,shu1,13.6,618,358.93382352941177,4881.5
SOOP,데스해머쵸로,8.6,1051,546.9069767441861,4703.4
SOOP,양도끼,6,898,757.6333333333333,4545.8
SOOP,진성준짱,28.6,354,156.33916083916083,4471.3
치지직,채현찌,5.8,1274,727.5344827586207,4219.7
치지직,유즈하 리코,1.9,2369,2170.0526315789475,4123.1
치지직,이샤 ISHA,4.5,1137,902.4666666666667,4061.1
SOOP,아이치,7.7,857,482.6623376623377,3716.5
SOOP,천양,5.4,980,683.2592592592592,3689.6
치지직,에땁01,15.8,371,231.41772151898735,3656.4
SOOP,모카:b,21.5,381,162.3953488372093,3491.5
SOOP,김레인♥,46.2,210,71.28138528138528,3293.2
SOOP,태영♥,5.1,860,616.3921568627451,3143.6
치지직,용봉탕,29.3,190,104.32423208191126,3056.7
SOOP,사과몽,52.8,103,57.50568181818182,3036.3
SOOP,빅토리~!,10.6,551,279.50943396226415,2962.8
치지직,짜누1,16.4,536,179.53048780487805,2944.3
치지직,디디디용,5.1,1031,570.2156862745098,2908.1
치지직,나무늘보OW,34.7,148,83.2420749279539,2888.5
SOOP,스맵임,3.7,1087,753.3243243243244,2787.3
치지직,멋사,5,913,551.72,2758.6
SOOP,견자희,8,608,341.0625,2728.5
치지직,일루전입니다,25.2,187,103.0436507936508,2596.7
SOOP,디임,7.1,478,360.6619718309859,2560.7
SOOP,지붕위소희,5.8,635,429.4310344827586,2490.7
SOOP,연초록♪,5.6,692,436.2142857142857,2442.8
SOOP,유시에,15,262,157.76,2366.4
치지직,바이올렛잇고,6.1,462,361.8360655737705,2207.2
SOOP,수힛,14.9,396,140.6510067114094,2095.7
치지직,박홍시1,4.2,645,495.07142857142856,2079.3
치지직,인간젤리,3.5,763,574.6857142857143,2011.4
치지직,눈꽃,8.9,373,218.96629213483146,1948.8
치지직,설백,5.7,544,338.7894736842105,1931.1
치지직,근모닝,37,108,51.924324324324324,1921.2
SOOP,[JS]박퍼니,2.4,866,780,1872
치지직,펠리칸인디용,20,199,91.99,1839.8
치지직,Akaros83,7.1,326,254.5211267605634,1807.1
치지직,권세이,21.4,139,83.8785046728972,1795
치지직,하예솜,56.9,48,31.423550087873462,1788
SOOP,쿠우♪,5.4,582,326.27777777777777,1761.9
SOOP,빙밍_,9.3,324,186.30107526881721,1732.6
치지직,냐 미 Nyami,10.6,311,161.1320754716981,1708
SOOP,떵규_,15.3,160,109.34640522875817,1673
치지직,삐라입니다,19.4,124,86.17525773195877,1671.8
SOOP,홍현성.,19.5,163,84.50256410256411,1647.8
SOOP,히댕,14.6,180,112.86301369863014,1647.8
치지직,사야플,22.8,124,71.7280701754386,1635.4
씨미,Hebi,1.5,1130,1089.2,1633.8
SOOP,우리밍_,6.7,421,242.9402985074627,1627.7
SOOP,김웰로,27.2,109,59.20220588235294,1610.3
치지직,킴쿼카,104.7,32,15.257879656160458,1597.5
치지직,헤이 heyy,39.9,73,39.68671679197995,1583.5
치지직,쿨 쿨 이,21,120,74.56666666666666,1565.9
SOOP,임밍지,16.8,189,86.02380952380952,1445.2
치지직,RIOORI 리우리,3.5,540,411.2857142857143,1439.5
치지직,디엠이무니다,22.1,126,64.27601809954751,1420.5
SOOP,빵지니♥,7.8,260,181.25641025641025,1413.8
치지직,ㅇ연이ㅇ,5.3,399,264.1320754716981,1399.9
치지직,야켓,39.7,69,34.9647355163728,1388.1
SOOP,김옥독,51.3,54,26.475633528265107,1358.2
SOOP,라로시_,9.6,242,138.75,1332
SOOP,반히._.,52.8,37,25.202651515151516,1330.7
치지직,무화 Moohwa,78.2,45,16.970588235294116,1327.1
치지직,핑맨,1.9,888,685.1578947368421,1301.8
SOOP,토끼예나,8,324,159.175,1273.4
SOOP,채윤아,43.2,53,29.314814814814813,1266.4
치지직,rus1,41.3,142,30.11138014527845,1243.6
SOOP,oPuTo,18.7,81,64.06417112299465,1198
치지직,치요우,15.3,130,78.07843137254902,1194.6
치지직,새 담,13.5,127,87.6962962962963,1183.9
SOOP,진호.,33,89,35.57272727272727,1173.9
SOOP,쥐돌이쥐돌이,12.1,265,95.47107438016529,1155.2
SOOP,개리∀,20.5,175,54.858536585365854,1124.6
치지직,김덕만 KDM,7,276,155.4142857142857,1087.9
SOOP,aidragon,13.6,108,79.38970588235294,1079.7
SOOP,냥냥두둥,4.5,899,239.04444444444445,1075.7
치지직,내가미라지,9.4,165,110.54255319148936,1039.1
치지직,아이치,9.9,179,104.74747474747475,1037
SOOP,김규태,13.6,313,75.7720588235294,1030.5
SOOP,찌미♥,55.8,59,18.18100358422939,1014.5
SOOP,도화εз,32,45,31.65625,1013
치지직,Stalk3r,2,549,505.05,1010.1
치지직,네이키드 naked,15.8,85,62.93037974683544,994.3
SOOP,설레지히,76.6,21,12.91906005221932,989.6
SOOP,마이곰이_,1.9,586,518.0526315789474,984.3
치지직,꽃핀,3.1,458,310.19354838709677,961.6
치지직,김정민 해변킴,15.9,129,60.36477987421384,959.8
치지직,김똘복,2.3,548,412.4782608695652,948.7
SOOP,나옹이빵,29.3,55,31.600682593856654,925.9
SOOP,꿀탱탱,9.6,145,94.64583333333333,908.6
치지직,감수,27.8,54,32.68345323741007,908.6
치지직,제이큐브 JCUBE,24.3,93,36.13168724279836,878
SOOP,또해영♥,2.2,495,391.90909090909093,862.2
SOOP,주드,58.8,34,14.636054421768707,860.6
치지직,양아지,1.4,651,611.0714285714286,855.5
SOOP,민서율♡,3,350,284.73333333333335,854.2
치지직,Kaiser카이저,18.5,112,45.32972972972973,838.6
치지직,치코쟝,6.9,324,121.10144927536231,835.6
SOOP,키이세,3.5,327,235.97142857142856,825.9
SOOP,현르시,68.9,20,11.827285921625544,814.9
SOOP,새라새라♥,7.8,168,104.33333333333333,813.8
치지직,판누,26.7,61,29.876404494382022,797.7
SOOP,김대휘,16.3,91,48.70552147239264,793.9
SOOP,김야미♥,31.5,61,25.098412698412698,790.6
치지직,초롱 CH0R0NG,2.6,352,298.96153846153845,777.3
치지직,이복만,32.8,39,23.41768292682927,768.1
SOOP,김멘탈,72.8,45,10.491758241758241,763.8
SOOP,♡소유나♡,5.2,218,145.90384615384616,758.7
SOOP,지별,61.7,52,12.155591572123177,750
치지직,텐플라스텐 텐텐,6.5,153,113.92307692307692,740.5
치지직,삐부,1.9,435,389.7368421052632,740.5
SOOP,성하늘,29.7,81,24.744107744107744,734.9
SOOP,으냉이,2.5,391,292.8,732
치지직,navi2,61.1,39,11.960720130932897,730.8
SOOP,러아♡,0.9,924,808.3333333333334,727.5
치지직,와팬,8.5,135,84.90588235294118,721.7
치지직,메메s,42.7,42,16.711943793911008,713.6
SOOP,우태,3.9,465,180.94871794871796,705.7
SOOP,한아밍,18.5,57,37.8972972972973,701.1
SOOP,도맑음,5,261,139.3,696.5
SOOP,히요코,8.8,114,77.27272727272727,680
SOOP,초아♬,36.3,26,18.421487603305785,668.7
SOOP,태민98,9.4,128,71.07446808510639,668.1
치지직,쏭이,20.1,57,32.666666666666664,656.6
SOOP,오리꿍_,9.8,99,65.11224489795919,638.1
SOOP,owesportsjp,25.3,58,25.102766798418973,635.1
SOOP,사봉디,38,30,16.705263157894738,634.8
SOOP,마다옴_,3.9,195,162.28205128205127,632.9
SOOP,호미밍,16.8,49,36.392857142857146,611.4
SOOP,란쵸_,33.5,84,17.82686567164179,597.2
치지직,유후의피아노래,3.3,195,179.5151515151515,592.4
치지직,김동학,5.7,148,103.84210526315789,591.9
SOOP,큐티섹시♪,18.4,147,31.565217391304348,580.8
치지직,슈이입니다,17.9,75,32.212290502793294,576.6
SOOP,걸뽀★,4.6,168,124.19565217391305,571.3
치지직,잗만한라마,37.7,40,15.145888594164456,571
치지직,나나는못말려,38.2,24,14.795811518324607,565.2
SOOP,구보라,7.6,137,74.26315789473684,564.4
치지직,머라냥 I Meolanyang,21.5,100,26.24186046511628,564.2
SOOP,볼가지,36.2,28,15.530386740331492,562.2
치지직,페오 PEO,34,40,16.49705882352941,560.9
SOOP,리타∀,7.2,122,77.75,559.8
치지직,알파이입니다,11.6,89,47.96551724137931,556.4
치지직,Uann 유안,24.9,39,22.220883534136547,553.3
SOOP,김세노,3.4,256,162.23529411764707,551.6
치지직,꾸꾸몽,78.9,23,6.983523447401774,551
SOOP,오리-3-,5.7,155,96.14035087719299,548
치지직,옵쪽이,36.4,34,14.717032967032967,535.7
SOOP,달묘_,10.1,84,52.86138613861386,533.9
치지직,한나금,31.1,31,17.070739549839228,530.9
치지직,훈톨이,34.2,28,15.201754385964913,519.9
SOOP,최은뽀1,23.2,38,22.04310344827586,511.4
치지직,뱅,3.1,190,163.06451612903226,505.5
SOOP,아이코_,15.6,61,32.08974358974359,500.6
치지직,콩콩,11.1,129,43.63963963963964,484.4
SOOP,쪼이.,9.7,88,49.824742268041234,483.3
치지직,엄덕구1,22.7,42,21.19383259911894,481.1
SOOP,푸닝,27.3,23,17.446886446886445,476.3
SOOP,아칸_,19.2,56,24.723958333333332,474.7
치지직,튜티,39.4,27,12.035532994923859,474.2
SOOP,트할_,5.3,116,89.41509433962264,473.9
치지직,멜랴,6.9,98,68.55072463768116,473
SOOP,하이요,6.3,105,74.98412698412699,472.4
SOOP,오녀리,13.4,55,35.11940298507463,470.6
SOOP,캬앙,5.8,104,80.34482758620689,466
SOOP,루센_,24.2,30,19.15702479338843,463.6
SOOP,눈길.,48.3,22,9.563146997929607,461.9
치지직,Proud,4.6,150,100.3913043478261,461.8
SOOP,부바,36.7,23,12.514986376021799,459.3
SOOP,마두,41.9,18,10.909307875894989,457.1
치지직,광살탄,21.8,28,20.426605504587155,445.3
치지직,마카04,16.6,49,26.481927710843372,439.6
SOOP,문모모,1.8,266,244,439.2
SOOP,현주♥,18,63,24.166666666666668,435
SOOP,상득,16.6,41,26.126506024096386,433.7
SOOP,다키_,7.6,65,56.85526315789474,432.1
치지직,마지텐시0,15,61,28.76,431.4
SOOP,채현준,6,102,70.3,421.8
치지직,배빛,29.8,26,14.140939597315436,421.4
치지직,꼼댕이,54.4,19,7.742647058823529,421.2
SOOP,뀨삐,12.9,80,32.565891472868216,420.1
SOOP,사만다_,55.6,13,7.491007194244604,416.5
치지직,육두희,55.7,18,7.448833034111311,414.9
치지직,벨라짱,33.9,24,12.106194690265486,410.4
치지직,텝텝,5.3,104,76.47169811320755,405.3
치지직,중괄호,5.6,100,70.58928571428571,395.3
SOOP,정다닝.,11,67,35.36363636363637,389
SOOP,안즈!,33.1,18,11.743202416918429,388.7
SOOP,딴딴2당,9.1,95,42.43956043956044,386.2
SOOP,이깨굴,26.6,22,14.38345864661654,382.6
SOOP,가니꾸,31.8,24,11.770440251572326,374.3
치지직,얌록,29.4,28,12.693877551020408,373.2
치지직,TTia 띠아,22,32,16.527272727272727,363.6
치지직,벨로스레아,16.5,49,21.951515151515153,362.2
SOOP,연치민,10.4,89,34.50961538461539,358.9
SOOP,수찬,1.1,354,326.09090909090907,358.7
치지직,이수민05,15.6,47,22.916666666666668,357.5
SOOP,온네님,6.3,67,56.301587301587304,354.7
SOOP,하츠☆,24.3,33,14.563786008230453,353.9
치지직,움팡,25.5,31,13.862745098039216,353.5
SOOP,모요,4.1,101,84.53658536585365,346.6
치지직,Sley,8.1,72,42.617283950617285,345.2
치지직,광배언니,24.9,26,13.698795180722891,341.1
치지직,워터빈,23.1,47,14.636363636363637,338.1
치지직,eo58,20.9,30,16.129186602870814,337.1
치지직,도이입니다,17.5,34,19.034285714285716,333.1
SOOP,안산저격수,4.1,131,80.04878048780488,328.2
SOOP,멍지수.,17.6,43,18.619318181818183,327.7
치지직,SEjFiNN,16.2,44,20.21604938271605,327.5
치지직,문히온,26.6,37,12.225563909774436,325.2
치지직,체크메이트입니다,5.6,124,57.660714285714285,322.9
치지직,TaeJong2,18.2,48,17.664835164835164,321.5
SOOP,뿌리.,5.9,94,53.76271186440678,317.2
SOOP,뽀끔o3o,8.5,48,37.23529411764706,316.5
치지직,유자 Yuja,37.1,25,8.514824797843666,315.9
치지직,커밍순하리,22.3,36,14.09865470852018,314.4
SOOP,임하밍,4.3,102,73,313.9
치지직,아이스초코1,25.3,22,12.284584980237154,310.8
치지직,애플3203,3.7,139,83.89189189189189,310.4
SOOP,한세긴,4.5,78,68.82222222222222,309.7
SOOP,d햄비b,37.2,13,8.325268817204302,309.7
SOOP,흑구_,31.8,22,9.729559748427674,309.4
SOOP,꿀혜,7.8,59,39.42307692307692,307.5
치지직,얼도우,21.6,32,14.194444444444445,306.6
치지직,나나링 Nanaring,4.5,92,68.13333333333334,306.6
SOOP,머라냥,21.3,55,14.375586854460094,306.2
치지직,효튜브,15.3,43,19.84967320261438,303.7
SOOP,백청미,9.3,40,32.54838709677419,302.7
치지직,용사98,15,47,20.046666666666667,300.7
SOOP,옥맨,2.8,153,106.60714285714286,298.5
SOOP,요요에요∀,6.6,68,45.121212121212125,297.8
치지직,꽃빈,1.5,291,197.73333333333332,296.6
SOOP,강희또,11.9,32,24.823529411764707,295.4
치지직,게구리,3.7,122,79.56756756756756,294.4
SOOP,광수야.,16.8,23,17.375,291.9
SOOP,김군,6.4,63,45.578125,291.7
SOOP,서나앙,2.7,124,106.96296296296296,288.8
SOOP,새턴-,52.8,9,5.441287878787879,287.3
SOOP,김동욱_,25.4,21,11.295275590551181,286.9
치지직,유우스즈 무무,3.1,110,92.29032258064517,286.1
SOOP,다정언니,44.2,10,6.411764705882353,283.4
SOOP,더디아,35.6,23,7.912921348314606,281.7
SOOP,스노,14.8,25,18.986486486486488,281
SOOP,석시문,42.5,10,6.557647058823529,278.7
SOOP,이지수^^*,7,65,39.785714285714285,278.5
SOOP,김성진_,10.7,38,25.953271028037385,277.7
SOOP,순수콩♧,38.4,13,7.216145833333333,277.1
SOOP,김해피2,0.9,656,306.77777777777777,276.1
SOOP,체비_,6.1,55,45.131147540983605,275.3
SOOP,랑이몽_,14.8,24,18.43918918918919,272.9
치지직,양엔젤,44.6,20,6.116591928251121,272.8
SOOP,세레나,4.5,111,60.4,271.8
치지직,훈논,36.4,16,7.445054945054945,271
치지직,I최맑음I,25.6,28,10.56640625,270.5
SOOP,_해이_,11.6,34,23.310344827586206,270.4
SOOP,디엠이무니다,25.4,56,10.637795275590552,270.2
SOOP,꼬부기07.,14.1,47,19.163120567375888,270.2
치지직,루 다,1.3,252,206.76923076923077,268.8
치지직,김공은,32.7,26,8.143730886850152,266.3
SOOP,아즈_,21.5,16,12.348837209302326,265.5
치지직,장민돌,44.7,13,5.9284116331096195,265
치지직,Mer1t,4.4,85,60.18181818181818,264.8
치지직,상일2,24.7,23,10.62753036437247,262.5
SOOP,하솔。,20.6,19,12.70873786407767,261.8
SOOP,찰리씨,5.7,62,45.59649122807018,259.9
치지직,대구흑염소,24.2,39,10.723140495867769,259.5
SOOP,떵이。,14.5,22,17.820689655172412,258.4
SOOP,설설설=333,14.3,39,17.895104895104897,255.9
치지직,땅컹이ㅋ,6,61,42.6,255.6
치지직,나모라고해,60.5,18,4.2132231404958675,254.9
SOOP,깅예솔,1.7,162,149,253.3
