플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,김민교.,36.6,31742,16765.081967213115,613602
SOOP,봉준,21.6,49279,21527.675925925927,464997.8
SOOP,이상호,25.3,20185,11695.636363636364,295899.6
SOOP,항상#킴성태,26.7,13840,7087.902621722847,189247
SOOP,저라뎃,36.5,5154,2967.594520547945,108317.2
SOOP,owesports,19.1,7559,5592.701570680629,106820.6
SOOP,오아,43.9,3872,1649.75854214123,72424.4
SOOP,임아니,63,3586,1075.1730158730159,67735.9
SOOP,이지상:),23.7,6339,2176.5274261603377,51583.7
SOOP,감스트,5.7,20633,8758.298245614034,49922.3
SOOP,남순,11.8,6766,4178.669491525424,49308.3
SOOP,감블러,42.7,1742,972.4355971896955,41523
SOOP,강만식,53.6,2275,763.7854477611941,40938.9
치지직,서넹,55,1214,664.92,36570.6
치지직,아카네 리제,9.9,4482,3459.7272727272725,34251.3
SOOP,수피,24.9,3454,1319.1847389558234,32847.7
SOOP,깐숙,31.6,1621,1024.5189873417721,32374.8
치지직,빅헤드,23.1,1997,1389.2121212121212,32090.8
SOOP,타요*,7,5786,4569.142857142857,31984
SOOP,징버거☆,10.1,4194,2977.4158415841584,30071.9
SOOP,지피티,16,2654,1855.1625,29682.6
SOOP,일루전_,30.7,2574,915.6351791530944,28110
SOOP,클리드1,21.6,2083,1145.537037037037,24743.6
SOOP,철구형2↑,4.3,7824,5568.558139534884,23944.8
SOOP,도현ツ,32,1601,707.11875,22627.8
SOOP,비챤,7.2,3915,3091.1666666666665,22256.4
치지직,소우릎,25.7,1255,849.8054474708172,21840
SOOP,조디악악악,66.8,624,305.9116766467066,20434.9
SOOP,깨박이깨박이,7.6,4240,2508.8026315789475,19066.9
SOOP,바밍_,45.9,1033,378.7080610021786,17382.7
SOOP,나는상윤,30.2,1029,541.1490066225166,16342.7
SOOP,EscA_에스카,24.2,2132,653.5867768595041,15816.8
SOOP,“클로이”,44,694,356.50454545454545,15686.2
SOOP,쪼낙,16.2,1655,918.5246913580247,14880.1
SOOP,A-염보성!!,1.2,15311,11775.166666666666,14130.2
SOOP,김진솔,47.8,1229,280.3577405857741,13401.1
SOOP,중력∀,20.9,813,613.0334928229665,12812.4
치지직,탬탬버린,2.1,7189,6085.523809523809,12779.6
SOOP,파니_,53.1,730,239.4689265536723,12715.8
SOOP,양도끼,23.8,1040,529.390756302521,12599.5
SOOP,지붕위소희,16.8,1183,736.8571428571429,12379.2
치지직,이선생,42.4,402,263.12264150943395,11156.4
SOOP,한남맛종욱,40.7,640,273.1793611793612,11118.4
치지직,치킨쿤,12.2,1343,838.5819672131148,10230.7
SOOP,나나문,34.3,526,290.81632653061223,9975
치지직,아오쿠모 린,2.9,3584,3202.6206896551726,9287.6
치지직,짜누1,35.7,458,247.54621848739495,8837.4
SOOP,앵지,28.7,684,285,8179.5
SOOP,김된모!,15.9,1092,493.3207547169811,7843.8
SOOP,뽀린걸,17.6,666,438.22159090909093,7712.7
SOOP,띵귤_,4.9,1880,1566.0816326530612,7673.8
SOOP,해리,14.5,832,528.4068965517241,7661.9
치지직,마뫄,7.1,1290,1018.7183098591549,7232.9
SOOP,상어녀,16.2,1891,436.9691358024691,7078.9
SOOP,진성준짱,35.5,312,197.4676056338028,7010.1
SOOP,하루묭.,28.1,455,242.8896797153025,6825.2
치지직,볼가지 bug,34.2,330,199.3830409356725,6818.9
SOOP,악어∀,13.2,1021,516.4772727272727,6817.5
SOOP,학살~,17.2,1149,380.2906976744186,6541
SOOP,설레랑,14.3,1057,446.09090909090907,6379.1
SOOP,우리밍_,26.2,375,242.4236641221374,6351.5
SOOP,마다옴_,29.3,612,214.73037542662115,6291.6
SOOP,키이세,22.7,891,276.40969162995594,6274.5
SOOP,끠끼,6.2,1368,1008.0322580645161,6249.8
SOOP,(주)박사장$,7.6,1031,818.6184210526316,6221.5
SOOP,애교용,11.8,1836,501.23728813559325,5914.6
치지직,류시호 RyuSiho,4.8,1489,1216.625,5839.8
SOOP,으냉이,16.1,646,348.45341614906835,5610.1
SOOP,꿀탱탱,35.8,295,156.42737430167597,5600.1
SOOP,빙밍_,26.7,380,208.11610486891385,5556.7
치지직,설백,20.1,428,275.7761194029851,5543.1
SOOP,견자희,21.3,378,255.28169014084506,5437.5
SOOP,디임,8,1188,666.95,5335.6
SOOP,혜응이_,22.7,621,229.81057268722466,5216.7
치지직,선데이1,24.3,586,205.25925925925927,4987.8
치지직,담유이,12.6,624,394.1507936507937,4966.3
치지직,푸린,12.5,615,389.584,4869.8
SOOP,뮤즈_MUSE,24.6,418,195.04471544715446,4798.1
SOOP,라로시_,23.4,535,201.27350427350427,4709.8
SOOP,유시에,40.4,392,111.38861386138613,4500.1
치지직,바이올렛잇고,12.5,458,337.68,4221
SOOP,Calm_김윤환,2.1,2289,1963.7142857142858,4123.8
치지직,임나은,10.9,566,377.2477064220183,4112
SOOP,Alo.조경훈,2.8,1787,1453.392857142857,4069.5
SOOP,울산큰고래,8.2,614,496.109756097561,4068.1
SOOP,한결___,5.8,1077,694.948275862069,4030.7
SOOP,남수댕,22.7,394,175.30396475770925,3979.4
SOOP,하나나,23.6,535,167.64406779661016,3956.4
SOOP,피넛ㅁ,3.8,1581,1038.5526315789473,3946.5
SOOP,깡담비,21.8,493,173.94954128440367,3792.1
