플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,봄세이,13.1,274,152.4351145038168,1996.9
SOOP,시오∋,29.8,122,66.83221476510067,1991.6
치지직,유레이 UREI,11.3,232,175.3716814159292,1981.7
SOOP,진성준짱,9.1,289,215.36263736263737,1959.8
치지직,김디삼,21.2,291,90.91981132075472,1927.5
치지직,방찌,7.1,330,270.0845070422535,1917.6
치지직,꽃빈,9.2,497,200.95652173913044,1848.8
치지직,아 즈 AZ,20.8,128,88.4326923076923,1839.4
치지직,강지형,11.3,197,158.5929203539823,1792.1
치지직,판자집강아지,15.6,185,112.55128205128206,1755.8
치지직,하 세,5.2,386,332.4230769230769,1728.6
치지직,부리123,10.8,247,158.12037037037038,1707.7
치지직,로마러,10.2,254,166.64705882352942,1699.8
SOOP,임밍지,13.4,176,123.45522388059702,1654.3
SOOP,김-부각,41.3,122,39.0363196125908,1612.2
치지직,어스키,15.9,149,100.66666666666667,1600.6
SOOP,파니_,9.7,217,164.37113402061857,1594.4
SOOP,화여니,60,47,26.54,1592.4
치지직,HeavyRainy,6.6,303,240.9090909090909,1590
치지직,이 비,30,84,52.663333333333334,1579.9
치지직,랜비,20.2,156,77.06435643564356,1556.7
치지직,자몽뀨1,25.7,112,59.90661478599222,1539.6
치지직,VG신선한망치,23.2,94,65.81896551724138,1527
SOOP,이유란ㅇ,6.2,275,242.56451612903226,1503.9
치지직,연비니,7.9,369,183.58227848101265,1450.3
치지직,샤메이,4.2,532,343.4047619047619,1442.3
치지직,형 독,9.4,238,153.30851063829786,1441.1
치지직,델로략국,6.2,307,228.1451612903226,1414.5
치지직,은뿌,5.4,320,244.72222222222223,1321.5
SOOP,홍스즈,39.9,50,32.80200501253133,1308.8
치지직,도나 Dona,8.8,341,145.9431818181818,1284.3
치지직,류시호 RyuSiho,2.2,625,574,1262.8
치지직,찡스임,7.2,291,168.625,1214.1
SOOP,한결___,1.9,816,626.6842105263158,1190.7
SOOP,표우_,8.9,195,130.69662921348313,1163.2
치지직,츠밍,6.2,217,181.56451612903226,1125.7
SOOP,떵규_,11.2,115,98.58035714285714,1104.1
치지직,쾅준,6.8,272,161.47058823529412,1098
SOOP,바밍_,3.8,358,282.10526315789474,1072
치지직,키유 Kiyuu,2.1,572,504.95238095238096,1060.4
치지직,김편집,6,194,169.13333333333333,1014.8
치지직,연못여우,52.6,47,19.05513307984791,1002.3
치지직,렛 삐,42.7,58,23.24824355971897,992.7
치지직,냐모이,17.1,97,57.824561403508774,988.8
치지직,치코쟝,7,270,139.75714285714287,978.3
치지직,주누피,15.3,85,63.50326797385621,971.6
치지직,뜨엉이,9.1,137,104.91208791208791,954.7
치지직,윤리즈,16.4,73,57.63414634146341,945.2
SOOP,하루비_,11.1,128,84.77477477477477,941
치지직,레밀레기,10.5,118,88.39047619047619,928.1
치지직,연 리,3.9,294,230.76923076923077,900
SOOP,뽀린걸,3,329,296.6333333333333,889.9
치지직,먀뮤뮤,6.1,171,143.19672131147541,873.5
SOOP,얼이,31.3,107,27.105431309904155,848.4
SOOP,요요에요∀,16.4,72,51.15243902439025,838.9
SOOP,악어∀,12,121,69.875,838.5
SOOP,새라새라♥,8.7,117,95.19540229885058,828.2
치지직,두뭉,6,156,128.8,772.8
치지직,비행돼지,6.2,155,123.85483870967742,767.9
SOOP,치요∀,12.3,83,62.1219512195122,764.1
치지직,코리수,12.2,78,62.377049180327866,761
SOOP,임민트♥,20.6,98,36.59708737864078,753.9
치지직,남궁혁,1.5,550,500.53333333333336,750.8
치지직,ㅎㄹㄹㅎㄹㄹ,4.2,199,176.0952380952381,739.6
치지직,한동그라미1,2.4,428,301.9583333333333,724.7
SOOP,린링,15.9,113,45.138364779874216,717.7
SOOP,코코양,15.6,64,45.544871794871796,710.5
치지직,조별하,4.1,190,172.90243902439025,708.9
치지직,끠월마녀,9.8,110,71.6734693877551,702.4
치지직,김주선,12.5,101,55.952,699.4
치지직,소라네코,51.5,58,13.54757281553398,697.7
치지직,만디 2,4.5,179,154.2888888888889,694.3
SOOP,데스해머쵸로,4.1,225,168.8780487804878,692.4
SOOP,김병살,6.2,123,109.53225806451613,679.1
SOOP,류채아,6.9,128,97.76811594202898,674.6
치지직,통깡이,1.7,441,390.88235294117646,664.5
치지직,겜나나,15.6,75,42.16025641025641,657.7
치지직,칸지,14.5,90,44.641379310344824,647.3
SOOP,리리하,36.6,28,17.674863387978142,646.9
치지직,용봉탕,4.8,193,132.85416666666666,637.7
치지직,코아이,65.1,39,9.741935483870968,634.2
치지직,데이빗96,41,35,15.307317073170731,627.6
치지직,리크리,7.4,125,84.74324324324324,627.1
치지직,하우카우uuu,4.4,181,140.77272727272728,619.4
치지직,성피아,4.5,233,137.53333333333333,618.9
치지직,하나빈 HANAVIN,9.6,91,63.791666666666664,612.4
치지직,참 다 래,11.4,91,52.90350877192982,603.1
치지직,해아 HAEA,19.4,71,30.824742268041238,598
치지직,땅컹이ㅋ,12.3,96,48.609756097560975,597.9
치지직,루루카 RURUKA,7,115,85.28571428571429,597
SOOP,김웰로,13.5,58,43.91111111111111,592.8
SOOP,꼼모리,10.7,75,55.35514018691589,592.3
SOOP,야무지♪,12.8,58,46.265625,592.2
치지직,단하루 danharu,9.4,88,63,592.2
치지직,박득천,18.4,61,31.972826086956523,588.3
SOOP,리타∀,5,155,116.68,583.4
치지직,이쿠롬,10.3,81,56.52427184466019,582.2
치지직,로라슈,25.7,42,22.603112840466927,580.9
치지직,온 하루,3.9,166,146.6153846153846,571.8
SOOP,칸_김동하,6.1,209,91.70491803278688,559.4
SOOP,슨미.,39.7,25,14.060453400503778,558.2
치지직,르 리스,15.5,69,35.03225806451613,543
치지직,냐 미 Nyami,3.7,185,145.86486486486487,539.7
치지직,김 달래,33.2,30,16.246987951807228,539.4
치지직,송엘,10.5,80,50.44761904761905,529.7
SOOP,대월향,9.3,82,56.81720430107527,528.4
치지직,온하얀 ONHAYAN,9,82,58.13333333333333,523.2
SOOP,여우비♡,4.7,155,111.25531914893617,522.9
치지직,뽀야치,21.5,45,24.21395348837209,520.6
치지직,게임못하는보니,34.2,36,15.011695906432749,513.4
SOOP,미스터훈이,71.3,12,7.049088359046284,502.6
치지직,이찌노,8.3,77,59.54216867469879,494.2
SOOP,주드,22.8,34,21.24561403508772,484.4
치지직,애플3203,6.3,99,76.17460317460318,479.9
SOOP,샤르망,6.5,110,72.29230769230769,469.9
SOOP,시즈애,29.6,30,15.83445945945946,468.7
치지직,금진영,25,48,18.732,468.3
치지직,베 라,4.6,114,101.58695652173913,467.3
치지직,포키쨩,2.7,250,171.85185185185185,464
치지직,AKA 아카,54.9,22,8.406193078324225,461.5
치지직,군림보,5.2,125,87.21153846153847,453.5
치지직,로션욤,5,150,89.76,448.8
치지직,아카이로 류,6,95,74.38333333333334,446.3
치지직,윤쪼기 yunjjogi,10.3,73,43.12621359223301,444.2
치지직,서논,8,85,55.525,444.2
치지직,밑줄밑줄,5.3,162,83.11320754716981,440.5
SOOP,딴딴2당,13.3,42,33.090225563909776,440.1
치지직,후추,9.9,82,44.42424242424242,439.8
SOOP,찰리씨,5.1,132,85.98039215686275,438.5
치지직,에임봇,20.1,86,21.691542288557216,436
치지직,별린,17.7,36,24.587570621468927,435.2
치지직,느에누리,16.1,59,26.422360248447205,425.4
SOOP,초아♬,20.2,39,20.65841584158416,417.3
치지직,푸후,8.9,63,46.20224719101124,411.2
치지직,덕드래곤,9.1,189,45.032967032967036,409.8
SOOP,견자희,1.3,360,313.9230769230769,408.1
SOOP,또오냥♥,4,122,101.5,406
치지직,하안 HAAN,15.4,48,26.11038961038961,402.1
치지직,영배씨,41.9,21,9.591885441527447,401.9
